Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Roberto Firmino,11.0,br BRA,FW,24-323,90,0,0,0,0,2,1,0,0,0,2,0,3,1,0,0,0,0,Liverpool
Philippe Coutinho,10.0,br BRA,FW,24-069,90,0,0,0,0,8,1,0,0,1,1,0,2,1,0,0,0,0,Liverpool
Daniel Sturridge,15.0,eng ENG,FW,26-354,64,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,Liverpool
Divock Origi,27.0,be BEL,"FW,MF",21-124,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Liverpool
Georginio Wijnaldum,5.0,nl NED,CM,25-283,90,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,CM,26-064,90,0,0,0,0,0,0,1,0,2,0,0,3,4,1,0,0,0,Liverpool
Adam Lallana,20.0,eng ENG,CM,28-102,77,0,0,0,0,6,1,0,0,0,3,0,1,1,0,0,0,0,Liverpool
Marko Grujić,16.0,rs SRB,MF,20-129,13,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,Liverpool
James Milner,7.0,eng ENG,LB,30-229,76,0,0,0,0,0,0,0,0,0,1,0,11,0,1,0,0,0,Liverpool
Alberto Moreno,18.0,es ESP,"DF,MF",24-046,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Liverpool
Ragnar Klavan,17.0,ee EST,CB,30-295,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,Liverpool
Dejan Lovren,6.0,hr CRO,CB,27-046,90,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0,Liverpool
Nathaniel Clyne,2.0,eng ENG,RB,25-137,90,0,0,0,0,3,1,0,0,0,0,0,2,2,1,0,0,0,Liverpool
Simon Mignolet,22.0,be BEL,GK,28-167,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool
14 Players,,,,,990,0,0,0,0,26,5,1,0,5,13,0,28,13,10,0,0,0,Liverpool
