Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Sergio Agüero,10.0,ar ARG,FW,27-102,24,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,,,Manchester City
Kevin De Bruyne,17.0,be BEL,"FW,MF",24-076,66,0,0,0,0,1,1,0,0,2,0,0,3,2,3,0,,,Manchester City
Wilfried Bony,14.0,ci CIV,FW,26-276,88,0,0,0,0,3,2,0,0,1,3,0,0,1,0,0,,,Manchester City
Kelechi Iheanacho,72.0,ng NGA,"FW,MF",18-344,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,Manchester City
Samir Nasri,8.0,fr FRA,LM,28-078,89,0,0,0,0,3,2,1,0,0,1,0,3,1,0,0,,,Manchester City
Martín Demichelis,26.0,ar ARG,"DF,MF",34-266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Manchester City
Fernandinho,25.0,br BRA,CM,30-131,90,0,0,0,0,2,0,0,0,0,1,0,0,1,4,0,,,Manchester City
Yaya Touré,42.0,ci CIV,RM,32-122,90,0,0,0,0,4,1,1,0,3,3,0,1,2,1,0,,,Manchester City
Jesús Navas,15.0,es ESP,CM,29-295,90,0,0,0,0,3,0,0,0,0,2,0,7,1,0,0,,,Manchester City
Aleksandar Kolarov,11.0,rs SRB,CB,29-306,90,0,0,0,0,2,0,0,0,0,1,0,5,3,5,0,,,Manchester City
Eliaquim Mangala,20.0,fr FRA,LB,24-211,90,0,0,0,0,1,0,1,0,2,1,0,0,2,2,0,,,Manchester City
Vincent Kompany,4.0,be BEL,RB,29-155,90,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,,,Manchester City
Bacary Sagna,3.0,fr FRA,CB,32-210,90,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,,,Manchester City
Joe Hart,1.0,eng ENG,GK,28-146,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Manchester City
14 Players,,,,,990,1,0,0,0,21,7,3,0,13,13,0,21,15,18,0,,,Manchester City
