Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Marcus Rashford,19.0,eng ENG,FW,18-199,78,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,,,Manchester United
Memphis,7.0,nl NED,"FW,MF",22-094,12,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,,Manchester United
Anthony Martial,11.0,fr FRA,LW,20-164,83,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,,,Manchester United
Ashley Young,18.0,eng ENG,"DF,FW",30-313,7,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,,Manchester United
Wayne Rooney,10.0,eng ENG,AM,30-206,90,1,1,0,0,2,1,0,0,1,0,0,1,3,3,0,,,Manchester United
Juan Mata,8.0,es ESP,RW,28-019,74,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,,,Manchester United
Ander Herrera,21.0,es ESP,MF,26-277,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Manchester United
Jesse Lingard,14.0,eng ENG,AM,23-154,90,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,,,Manchester United
Michael Carrick,16.0,eng ENG,DM,34-294,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,Manchester United
Cameron Borthwick-Jackson,43.0,eng ENG,LB,19-105,90,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,,,Manchester United
Daley Blind,17.0,nl NED,CB,26-069,90,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,,,Manchester United
Chris Smalling,12.0,eng ENG,CB,26-177,90,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,,,Manchester United
Antonio Valencia,25.0,ec ECU,RB,30-287,90,0,1,0,0,1,1,0,0,3,0,1,0,3,4,0,,,Manchester United
David de Gea,1.0,es ESP,GK,25-192,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Manchester United
14 Players,,,,,990,3,3,0,0,12,5,1,0,9,7,5,11,11,16,1,,,Manchester United
Joshua King,17.0,no NOR,FW,24-123,66,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,,,Bournemouth
Benik Afobe,9.0,cd COD,FW,23-095,24,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,Bournemouth
Callum Wilson,13.0,eng ENG,FW,24-080,78,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,,,Bournemouth
Lewis Grabban,28.0,eng ENG,"FW,MF",28-126,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
Marc Pugh,7.0,eng ENG,LM,29-045,65,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,,,Bournemouth
Max Gradel,10.0,ci CIV,"FW,MF",28-169,25,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,,,Bournemouth
Andrew Surman,6.0,eng ENG,CM,29-271,90,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,,,Bournemouth
Dan Gosling,4.0,eng ENG,CM,26-106,90,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,,,Bournemouth
Matt Ritchie,30.0,sct SCO,RM,26-250,90,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,,,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,29-253,90,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,,,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-028,90,0,0,0,0,2,0,0,0,1,0,0,0,1,3,0,,,Bournemouth
Tommy Elphick,5.0,eng ENG,CB,28-253,90,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,,,Bournemouth
Simon Francis,2.0,eng ENG,RB,31-091,90,0,0,0,0,0,0,0,0,1,0,0,2,4,3,0,,,Bournemouth
Adam Federici,23.0,au AUS,GK,31-107,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
14 Players,,,,,990,0,0,0,0,7,0,0,0,8,9,2,4,12,30,0,,,Bournemouth
