Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jay Rodriguez,9.0,eng ENG,FW,27-152,71,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,Southampton
Shane Long,7.0,ie IRL,FW,29-341,19,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,Southampton
Sofiane Boufal,19.0,ma MAR,FW,23-102,71,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,Southampton
Dušan Tadić,11.0,rs SRB,"FW,MF",28-038,19,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,Southampton
Nathan Redmond,22.0,eng ENG,FW,22-297,56,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,1,Southampton
Steven Davis,8.0,nir NIR,CM,31-362,71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Southampton
Pierre Højbjerg,23.0,dk DEN,MF,21-145,19,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,Southampton
Oriol Romeu,14.0,es ESP,CM,25-095,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Southampton
James Ward-Prowse,16.0,eng ENG,CM,22-057,90,0,1,0,0,0,0,0,0,1,1,0,8,4,2,0,0,0,Southampton
Ryan Bertrand,21.0,eng ENG,LB,27-145,90,0,0,0,0,1,0,0,0,2,4,0,3,0,2,0,0,0,Southampton
Virgil van Dijk,17.0,nl NED,CB,25-173,90,1,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,Southampton
José Fonte,6.0,pt POR,CB,33-006,90,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,Southampton
Cédric Soares,2.0,pt POR,RB,25-119,90,0,0,0,0,1,0,0,0,0,2,0,5,3,0,0,0,0,Southampton
Fraser Forster,1.0,eng ENG,GK,28-286,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southampton
14 Players,,,,,956,1,1,0,0,9,2,1,1,7,15,2,19,20,11,0,0,1,Southampton
