Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Harry Kane,10.0,eng ENG,FW,22-032,90,0,0,0,0,5,1,0,0,1,1,2,2,2,0,0,,,Tottenham Hotspur
Nacer Chadli,22.0,be BEL,AM,26-027,90,0,0,0,0,3,0,1,0,2,0,0,3,0,1,0,,,Tottenham Hotspur
Mousa Dembélé,19.0,be BEL,DM,28-044,52,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,,,Tottenham Hotspur
Dele Alli,20.0,eng ENG,"FW,MF",19-140,38,0,0,0,0,1,1,1,0,0,0,0,2,1,1,0,,,Tottenham Hotspur
Ryan Mason,8.0,eng ENG,AM,24-077,84,0,0,0,0,4,2,0,0,2,0,0,5,1,0,0,,,Tottenham Hotspur
Alex Pritchard,24.0,eng ENG,"FW,MF",22-118,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Tottenham Hotspur
Nabil Bentaleb,6.0,dz ALG,DM,20-278,90,0,0,0,0,2,1,1,0,3,0,0,0,1,1,0,,,Tottenham Hotspur
Eric Dier,15.0,eng ENG,AM,21-226,90,0,0,0,0,2,0,1,0,4,1,0,1,4,3,0,,,Tottenham Hotspur
Danny Rose,3.0,eng ENG,RB,25-058,90,0,0,0,0,1,0,0,0,2,2,1,4,5,2,0,,,Tottenham Hotspur
Jan Vertonghen,5.0,be BEL,CB,28-127,90,0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,,,Tottenham Hotspur
Toby Alderweireld,4.0,be BEL,CB,26-180,90,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,Tottenham Hotspur
Kyle Walker,2.0,eng ENG,LB,25-093,90,0,0,0,0,0,0,0,0,2,3,0,4,1,2,0,,,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,28-246,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
13 Players,,,,,990,0,0,0,0,20,6,4,0,20,9,3,22,21,13,0,,,Tottenham Hotspur
