Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Odion Ighalo,24.0,ng NGA,FW,26-187,88,2,0,0,0,3,3,0,0,0,2,0,1,0,1,0,,,Watford
Adlène Guedioura,17.0,dz ALG,MF,30-038,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Watford
Troy Deeney,9.0,eng ENG,FW,27-174,90,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,,,Watford
José Manuel Jurado,7.0,es ESP,LM,29-174,75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Watford
Ikechi Anya,21.0,sct SCO,"FW,MF",27-351,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Watford
Ben Watson,23.0,eng ENG,CM,30-164,90,0,0,0,0,0,0,0,0,0,1,0,8,1,6,0,,,Watford
Étienne Capoue,29.0,fr FRA,CM,27-162,90,0,0,0,0,1,0,0,0,1,2,0,1,5,3,0,,,Watford
Almen Abdi,22.0,ch SUI,RM,29-060,79,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,,,Watford
Valon Behrami,11.0,ch SUI,"DF,MF",30-245,11,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,,,Watford
Nathan Aké,16.0,nl NED,LB,20-305,90,1,0,0,0,1,1,0,0,0,0,0,2,2,3,0,,,Watford
Miguel Britos,3.0,uy URU,CB,30-156,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,,Watford
Craig Cathcart,15.0,nir NIR,CB,26-317,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,,,Watford
Allan Nyom,2.0,cm CMR,RB,27-224,90,0,0,0,0,0,0,0,0,3,2,0,2,1,1,0,,,Watford
Heurelho Gomes,1.0,br BRA,GK,34-308,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Watford
14 Players,,,,,990,3,2,0,0,6,5,1,0,6,9,1,17,22,18,0,,,Watford
Roberto Firmino,11.0,br BRA,FW,24-079,73,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,,,Liverpool
Christian Benteke,9.0,be BEL,FW,25-017,17,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,,,Liverpool
Philippe Coutinho,10.0,br BRA,FW,23-191,90,0,0,0,0,1,1,0,0,1,3,2,4,2,0,0,,,Liverpool
Adam Lallana,20.0,eng ENG,FW,27-224,73,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,,Liverpool
Jordon Ibe,33.0,eng ENG,"FW,MF",20-012,17,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,,,Liverpool
Emre Can,23.0,de GER,CM,21-342,90,0,0,0,0,1,1,0,0,2,1,0,0,3,1,0,,,Liverpool
Lucas Leiva,21.0,br BRA,CM,28-345,90,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,,,Liverpool
Jordan Henderson,14.0,eng ENG,CM,25-186,90,0,0,0,0,2,1,0,0,1,0,2,5,2,0,0,,,Liverpool
Alberto Moreno,18.0,es ESP,LB,23-168,90,0,0,0,0,1,0,0,0,1,0,0,5,2,1,0,,,Liverpool
Mamadou Sakho,17.0,fr FRA,CB,25-310,90,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,,,Liverpool
Martin Škrtel,37.0,sk SVK,CB,31-005,40,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,,,Liverpool
Divock Origi,27.0,be BEL,"FW,MF",20-246,50,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,,,Liverpool
Nathaniel Clyne,2.0,eng ENG,RB,24-259,90,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,,,Liverpool
Ádám Bogdán,34.0,hu HUN,GK,28-084,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Liverpool
14 Players,,,,,990,0,0,0,0,12,4,0,0,9,6,10,24,17,10,0,,,Liverpool
