Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Salomón Rondón,9.0,ve VEN,FW,27-043,90,0,0,0,0,2,0,0,0,4,2,2,0,1,0,0,0,0,West Bromwich Albion
James McClean,14.0,ie IRL,LW,27-190,90,0,0,0,0,1,0,1,0,4,4,0,5,1,0,0,0,0,West Bromwich Albion
Chris Brunt,11.0,nir NIR,AM,31-320,90,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,AM,32-271,50,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,West Bromwich Albion
James Morrison,7.0,sct SCO,"FW,MF",30-157,40,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,West Bromwich Albion
Nacer Chadli,22.0,be BEL,RW,27-088,86,0,0,0,0,2,0,0,0,1,1,0,3,0,1,0,0,0,West Bromwich Albion
Hal Robson-Kanu,4.0,wls WAL,"FW,MF",27-161,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,West Bromwich Albion
Jonny Evans,6.0,nir NIR,DM,28-300,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,West Bromwich Albion
Allan Nyom,2.0,cm CMR,LB,28-172,90,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,West Bromwich Albion
Jonas Olsson,3.0,se SWE,CB,33-233,50,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,West Bromwich Albion
Jonathan Leko,45.0,eng ENG,"FW,MF",17-188,40,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,36-329,90,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,26-176,90,0,0,0,0,0,0,1,0,1,0,0,2,2,1,0,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,33-209,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Bromwich Albion
14 Players,,,,,990,0,0,0,0,9,1,4,0,17,9,3,16,8,9,0,0,0,West Bromwich Albion
Sergio Agüero,10.0,ar ARG,FW,28-149,90,2,0,0,0,5,2,0,0,0,1,1,0,1,0,0,0,0,Manchester City
Nolito,9.0,es ESP,AM,30-014,67,0,0,0,0,4,1,1,0,1,1,1,1,1,0,0,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,"FW,MF",25-123,23,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Manchester City
Raheem Sterling,7.0,eng ENG,AM,21-326,76,0,0,0,0,4,2,0,0,2,1,1,2,0,0,0,0,0,Manchester City
Jesús Navas,15.0,es ESP,"DF,FW",30-343,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Manchester City
David Silva,21.0,es ESP,AM,30-295,82,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,Manchester City
Aleix García,75.0,es ESP,MF,19-123,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Manchester City
Fernandinho,25.0,br BRA,DM,31-178,90,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,Manchester City
İlkay Gündoğan,8.0,de GER,DM,26-005,90,2,1,0,0,4,2,0,0,0,1,0,5,1,0,0,0,0,Manchester City
Aleksandar Kolarov,11.0,rs SRB,LB,30-354,90,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,0,0,Manchester City
John Stones,24.0,eng ENG,CB,22-154,90,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,28-260,90,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,Manchester City
Fernando,6.0,br BRA,RB,29-096,90,0,0,0,0,1,0,1,0,3,3,0,1,1,1,0,0,0,Manchester City
Claudio Bravo,1.0,cl CHI,GK,33-199,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
14 Players,,,,,990,4,2,0,0,21,8,3,0,10,16,3,14,7,9,0,0,0,Manchester City
