Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Salomón Rondón,9.0,ve VEN,FW,26-119,66,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,West Bromwich Albion
Stéphane Sessègnon,29.0,bj BEN,"FW,MF",31-226,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,West Bromwich Albion
James McClean,14.0,ie IRL,DM,26-266,90,1,0,0,0,5,3,1,0,0,1,0,5,2,2,0,,,West Bromwich Albion
James Morrison,7.0,sct SCO,AM,29-233,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
Craig Gardner,8.0,eng ENG,MF,29-049,84,1,0,0,0,2,1,0,0,0,3,0,4,2,0,0,,,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,DM,31-346,90,0,1,0,0,1,0,0,0,0,3,0,4,3,3,0,,,West Bromwich Albion
Chris Brunt,11.0,nir NIR,DM,31-030,90,0,0,0,0,0,0,0,0,0,1,0,6,1,3,0,,,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,DM,28-179,59,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,,,West Bromwich Albion
Saido Berahino,18.0,bi BDI,"FW,MF",22-162,31,0,0,0,0,3,1,0,0,2,0,1,0,0,0,0,,,West Bromwich Albion
Jonny Evans,6.0,nir NIR,LB,28-010,90,0,0,0,0,0,0,0,0,0,2,0,1,2,6,0,,,West Bromwich Albion
Jonas Olsson,3.0,se SWE,CB,32-309,90,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,,,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,36-039,90,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,,,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,25-252,90,0,0,0,0,1,0,0,0,0,1,0,4,4,6,0,,,West Bromwich Albion
Boaz Myhill,13.0,wls WAL,GK,33-065,90,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,,,West Bromwich Albion
14 Players,,,,,990,2,1,0,0,13,5,3,0,8,13,1,31,17,28,1,,,West Bromwich Albion
