Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Enner Valencia,11.0,ec ECU,FW,26-052,90,0,0,0,0,2,1,0,0,2,1,0,1,2,0,0,,,West Ham United
Michail Antonio,30.0,jm JAM,AM,25-273,90,0,1,0,0,1,0,0,0,3,4,1,0,0,0,0,,,West Ham United
Mauro Zárate,10.0,ar ARG,AM,28-283,84,0,0,0,0,1,1,0,0,0,1,0,9,2,0,0,,,West Ham United
Reece Oxford,35.0,eng ENG,DF,17-010,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,West Ham United
Mark Noble,16.0,eng ENG,AM,28-232,90,0,0,0,0,1,0,0,0,1,2,0,2,3,1,0,,,West Ham United
Pedro Obiang,14.0,gq EQG,DM,23-274,90,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,,,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,DM,26-005,90,0,0,0,0,2,0,1,0,2,1,0,2,2,1,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,26-011,74,1,0,0,0,1,1,0,0,0,2,0,2,1,1,0,,,West Ham United
Alexandre Song,4.0,cm CMR,"DF,MF",28-108,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,27-217,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,West Ham United
James Collins,19.0,wls WAL,CB,32-125,90,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,,,West Ham United
James Tomkins,5.0,eng ENG,RB,26-272,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,West Ham United
Carl Jenkinson,12.0,eng ENG,DF,23-321,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,West Ham United
Adrián,13.0,es ESP,GK,28-357,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
14 Players,,,,,990,1,1,0,0,10,4,3,0,13,12,1,16,14,9,0,,,West Ham United
