Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Simone Zaza,11.0,it ITA,FW,25-092,90,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,West Ham United
Dimitri Payet,27.0,fr FRA,AM,29-180,90,0,0,0,0,3,0,1,0,0,1,0,10,1,0,0,0,0,West Ham United
Michail Antonio,30.0,jm JAM,AM,26-181,90,0,0,0,0,2,0,0,0,1,2,0,3,0,2,0,0,0,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,23-223,45,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,West Ham United
Sofiane Feghouli,7.0,dz ALG,"FW,MF",26-274,45,0,0,0,0,1,0,0,0,0,3,0,8,0,1,0,0,0,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,DM,26-279,90,0,0,0,0,0,0,0,0,1,1,0,2,0,3,0,0,0,West Ham United
Mark Noble,16.0,eng ENG,DM,29-140,81,0,0,0,0,1,0,1,0,1,4,0,0,0,5,0,0,0,West Ham United
Edimilson Fernandes,31.0,ch SUI,"DF,MF",20-163,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,West Ham United
Álvaro Arbeloa,5.0,es ESP,LB,33-252,90,0,0,0,0,0,0,1,0,2,1,0,2,2,6,0,0,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,28-125,90,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,West Ham United
Winston Reid,2.0,nz NZL,CB,28-084,90,0,0,0,0,2,0,1,0,3,0,0,0,1,4,0,0,0,West Ham United
Håvard Nordtveit,4.0,no NOR,RB,26-096,70,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,West Ham United
Ashley Fletcher,24.0,eng ENG,FW,20-359,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Adrián,13.0,es ESP,GK,29-266,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham United
14 Players,,,,,990,0,0,0,0,13,1,5,0,9,14,0,28,5,28,0,0,0,West Ham United
