Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Christian Benteke,17.0,be BEL,FW,26-147,70,0,0,0,0,3,1,1,0,4,0,1,0,0,0,0,0,0,Crystal Palace
Loïc Rémy,8.0,fr FRA,FW,30-117,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace
Andros Townsend,10.0,eng ENG,FW,25-287,90,0,0,0,0,0,0,0,0,1,0,0,18,1,0,0,0,0,Crystal Palace
Wilfried Zaha,11.0,ci CIV,FW,24-170,90,0,0,0,0,2,1,1,0,1,4,1,8,2,0,0,0,0,Crystal Palace
Jason Puncheon,42.0,eng ENG,CM,30-315,90,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,Crystal Palace
Luka Milivojević,28.0,rs SRB,CM,26-022,90,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,Crystal Palace
James McArthur,18.0,sct SCO,CM,29-204,70,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,Crystal Palace
Fraizer Campbell,9.0,eng ENG,FW,29-228,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Crystal Palace
Patrick van Aanholt,3.0,nl NED,LB,26-243,90,0,0,0,0,3,0,0,0,0,0,0,4,1,1,0,0,0,Crystal Palace
Damien Delaney,27.0,ie IRL,CB,35-283,90,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,Crystal Palace
Martin Kelly,34.0,eng ENG,CB,27-002,90,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,RB,27-182,90,0,0,0,0,0,0,0,0,1,4,0,4,1,0,0,0,0,Crystal Palace
Wayne Hennessey,13.0,wls WAL,GK,30-095,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace
13 Players,,,,,990,0,0,0,0,15,5,2,0,11,11,2,41,9,7,0,0,0,Crystal Palace
