Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Romelu Lukaku,10.0,be BEL,FW,23-247,90,1,0,0,0,3,1,1,0,1,1,2,2,0,0,0,0,0,Everton
Kevin Mirallas,11.0,be BEL,FW,29-102,64,1,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,Everton
Morgan Schneiderlin,2.0,fr FRA,MF,27-068,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Everton
Ross Barkley,8.0,eng ENG,CM,23-041,89,0,2,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,Everton
Ademola Lookman,31.0,ng NGA,"FW,MF",19-087,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Everton
Gareth Barry,18.0,eng ENG,CM,35-327,73,0,0,0,0,0,0,0,0,0,2,0,1,3,3,0,0,0,Everton
James McCarthy,16.0,ie IRL,MF,26-064,17,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Everton
Tom Davies,26.0,eng ENG,CM,18-199,90,1,0,0,0,1,1,0,0,3,3,0,0,0,2,0,0,0,Everton
Leighton Baines,3.0,eng ENG,LM,32-035,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RM,28-096,90,0,1,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,Everton
Ramiro Funes Mori,25.0,ar ARG,CB,25-316,90,0,0,0,0,0,0,0,0,3,0,0,1,2,2,0,0,0,Everton
Ashley Williams,5.0,wls WAL,CB,32-145,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,Everton
Mason Holgate,30.0,jm JAM,CB,20-085,90,0,0,0,0,0,0,1,0,2,1,0,0,2,1,0,0,0,Everton
Joel Robles,1.0,es ESP,GK,26-212,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton
14 Players,,,,,990,4,4,0,0,6,4,2,0,17,8,4,13,14,10,0,0,0,Everton
