Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Divock Origi,27.0,be BEL,FW,21-352,90,1,0,0,0,3,1,0,0,0,1,1,2,1,0,0,0,0,Liverpool
Philippe Coutinho,10.0,br BRA,FW,24-297,64,1,0,0,0,5,1,0,0,0,0,0,3,0,1,0,0,0,Liverpool
Joël Matip,32.0,cm CMR,"DF,MF",25-240,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool
Roberto Firmino,11.0,br BRA,FW,25-185,90,0,1,0,0,3,3,0,0,1,0,0,2,0,0,0,0,0,Liverpool
Georginio Wijnaldum,5.0,nl NED,CM,26-145,90,0,1,0,0,4,1,0,0,1,0,0,3,2,0,0,0,0,Liverpool
Lucas Leiva,21.0,br BRA,CM,30-086,90,0,0,0,0,1,0,1,0,2,1,0,1,4,3,0,0,0,Liverpool
Emre Can,23.0,de GER,CM,23-083,90,0,0,0,0,0,0,0,0,5,1,0,5,1,1,0,0,0,Liverpool
James Milner,7.0,eng ENG,LB,31-091,90,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,Liverpool
Ragnar Klavan,17.0,ee EST,CB,31-157,90,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,Liverpool
Dejan Lovren,6.0,hr CRO,CB,27-274,90,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Liverpool
Nathaniel Clyne,2.0,eng ENG,RB,26-000,90,0,0,0,0,2,1,0,0,0,3,0,3,3,3,0,0,0,Liverpool
Simon Mignolet,22.0,be BEL,GK,29-030,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool
12 Players,,,,,990,2,2,0,0,20,8,1,0,11,8,2,30,14,8,0,0,0,Liverpool
Benik Afobe,9.0,cd COD,FW,24-052,90,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,Bournemouth
Joshua King,17.0,no NOR,AM,25-080,90,1,0,0,0,2,1,0,0,0,2,0,0,2,1,0,0,0,Bournemouth
Marc Pugh,7.0,eng ENG,DM,30-003,82,0,0,0,0,1,0,0,0,1,1,0,1,1,4,0,0,0,Bournemouth
Max Gradel,10.0,ci CIV,"FW,MF",29-126,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
Jack Wilshere,32.0,eng ENG,DM,25-094,90,0,0,0,0,0,0,0,0,0,3,0,1,4,2,0,0,0,Bournemouth
Harry Arter,8.0,ie IRL,DM,27-098,90,0,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,Bournemouth
Jordon Ibe,33.0,eng ENG,DM,21-118,60,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Bournemouth
Ryan Fraser,24.0,sct SCO,"FW,MF",23-040,30,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,30-210,90,0,0,0,0,1,0,0,0,1,1,0,5,2,2,0,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-351,90,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,32-048,90,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,25-341,90,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,37-044,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bournemouth
13 Players,,,,,990,2,1,0,0,7,2,1,0,8,11,0,12,16,23,0,0,0,Bournemouth
