Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Harry Kane,10.0,eng ENG,FW,23-187,90,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,Tottenham Hotspur
Dele Alli,20.0,eng ENG,AM,20-295,90,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,AM,24-207,72,0,0,0,0,1,0,0,0,1,1,2,4,0,0,0,0,0,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,"FW,MF",27-168,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,AM,24-352,90,0,0,0,0,3,2,0,0,1,0,0,15,1,0,0,0,0,Tottenham Hotspur
Victor Wanyama,12.0,ke KEN,DM,25-220,90,0,0,0,0,3,1,0,0,2,2,0,1,2,0,0,0,0,Tottenham Hotspur
Mousa Dembélé,19.0,be BEL,DM,29-199,84,0,0,0,0,0,0,0,0,3,1,0,1,2,2,0,0,0,Tottenham Hotspur
Vincent Janssen,9.0,nl NED,FW,22-230,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tottenham Hotspur
Danny Rose,3.0,eng ENG,LB,26-213,37,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,Tottenham Hotspur
Ben Davies,33.0,wls WAL,"DF,MF",23-282,53,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,Tottenham Hotspur
Toby Alderweireld,4.0,be BEL,CB,27-335,90,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,23-016,90,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,Tottenham Hotspur
Kyle Walker,2.0,eng ENG,RB,26-248,90,0,0,0,0,1,0,0,0,1,1,0,4,1,0,0,0,0,Tottenham Hotspur
Michel Vorm,13.0,nl NED,GK,33-103,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tottenham Hotspur
14 Players,,,,,990,0,0,0,0,14,3,0,0,14,9,3,35,8,4,0,0,0,Tottenham Hotspur
