Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jonathan Calleri,28.0,ar ARG,FW,23-211,61,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,West Ham United
Diafra Sakho,15.0,sn SEN,FW,27-119,29,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,West Ham United
André Ayew,20.0,gh GHA,FW,27-126,90,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,24-066,90,0,0,0,0,3,1,0,0,1,1,0,10,3,2,0,0,0,West Ham United
Håvard Nordtveit,4.0,no NOR,DM,26-305,90,0,0,0,0,2,1,0,0,1,2,0,0,4,2,0,0,0,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,DM,27-122,78,0,0,0,0,1,0,0,0,0,3,0,1,1,1,0,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,"DF,MF",27-128,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Arthur Masuaku,26.0,cd COD,DM,23-166,90,0,0,0,0,1,0,0,0,2,0,0,3,4,1,0,0,0,West Ham United
Edimilson Fernandes,31.0,ch SUI,DM,21-007,90,0,0,0,0,3,0,1,0,1,2,0,5,0,1,0,0,0,West Ham United
James Collins,19.0,wls WAL,CB,33-242,90,0,0,0,0,1,0,0,0,0,1,0,0,3,5,0,0,0,West Ham United
Winston Reid,2.0,nz NZL,CB,28-293,90,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,West Ham United
José Fonte,23.0,pt POR,CB,33-121,90,0,0,0,0,1,1,1,0,2,0,0,1,1,4,0,0,0,West Ham United
Adrián,13.0,es ESP,GK,30-109,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Ham United
13 Players,,,,,990,0,0,0,0,15,3,2,0,10,15,1,23,16,21,0,0,0,West Ham United
Romelu Lukaku,10.0,be BEL,FW,23-344,90,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Everton
Kevin Mirallas,11.0,be BEL,FW,29-199,71,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Everton
Dominic Calvert-Lewin,29.0,eng ENG,"FW,MF",20-037,19,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,Everton
Ross Barkley,8.0,eng ENG,FW,23-138,90,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,Everton
Tom Davies,26.0,eng ENG,CM,18-296,45,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,Everton
Gareth Barry,18.0,eng ENG,MF,36-058,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Everton
Morgan Schneiderlin,2.0,fr FRA,CM,27-165,90,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,Everton
Idrissa Gana Gueye,17.0,sn SEN,CM,27-208,45,0,0,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,Everton
Ademola Lookman,31.0,ng NGA,"FW,MF",19-184,45,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,Everton
Leighton Baines,3.0,eng ENG,LB,32-132,90,0,0,0,0,0,0,0,0,1,1,0,6,1,0,0,0,0,Everton
Ashley Williams,5.0,wls WAL,CB,32-242,90,0,0,0,0,0,0,1,0,2,2,0,0,3,1,0,0,0,Everton
Phil Jagielka,6.0,eng ENG,CB,34-248,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Everton
Mason Holgate,30.0,jm JAM,RB,20-182,90,0,0,0,0,0,0,0,0,0,2,0,4,5,3,0,0,0,Everton
Maarten Stekelenburg,22.0,nl NED,GK,34-212,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton
14 Players,,,,,990,0,0,0,0,4,0,3,0,15,9,2,13,17,7,0,0,0,Everton
