Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ashley Barnes,10.0,eng ENG,FW,31-052,81,1,0,0,0,4,2,0,0,25,1,0,1,0.3,0.3,0.0,2,0,6,13,46.2,3,15,0,0,0,Burnley
Jay Rodriguez,19.0,eng ENG,FW,31-145,9,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Burnley
Chris Wood,9.0,nz NZL,FW,29-014,90,1,0,0,0,3,2,0,0,29,0,0,1,1.3,1.3,0.1,3,1,13,18,72.2,1,15,1,2,2,Burnley
Dwight McNeil,11.0,eng ENG,"LM,RM",21-029,86,0,0,0,0,0,0,0,0,34,2,1,0,0.0,0.0,0.1,1,0,16,26,61.5,0,22,3,2,1,Burnley
Josh Benson,41.0,eng ENG,RM,21-016,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Burnley
Josh Brownhill,8.0,eng ENG,CM,25-002,90,0,0,0,0,2,0,0,0,38,1,4,3,0.1,0.1,0.0,0,0,18,23,78.3,1,17,0,0,0,Burnley
Ashley Westwood,18.0,eng ENG,CM,30-264,90,0,0,0,0,0,0,1,0,37,0,1,1,0.0,0.0,0.4,1,0,21,35,60.0,6,19,0,0,0,Burnley
Robbie Brady,12.0,ie IRL,RM,28-342,68,0,0,0,0,0,0,0,0,27,2,0,1,0.0,0.0,0.1,3,1,19,22,86.4,1,17,2,1,1,Burnley
Erik Pieters,23.0,nl NED,LM,32-136,22,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,3,0,0,0,Burnley
Charlie Taylor,3.0,eng ENG,LB,27-094,90,0,1,0,0,0,0,0,0,44,2,0,0,0.0,0.0,0.1,2,1,20,34,58.8,2,25,2,1,0,Burnley
Ben Mee,6.0,eng ENG,CB,31-091,90,0,0,0,0,0,0,0,0,39,2,0,1,0.0,0.0,0.0,1,0,22,32,68.8,0,18,0,0,0,Burnley
James Tarkowski,5.0,eng ENG,CB,28-032,90,0,0,0,0,0,0,0,0,32,3,2,2,0.0,0.0,0.0,1,0,10,21,47.6,1,14,0,1,1,Burnley
Matthew Lowton,2.0,eng ENG,RB,31-195,90,0,0,0,0,1,0,0,0,44,1,2,0,0.0,0.0,0.0,0,0,24,34,70.6,5,20,4,1,0,Burnley
Nick Pope,1.0,eng ENG,GK,28-246,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.1,3,0,18,30,60.0,0,15,0,0,0,Burnley
14 Players,,,,,990,2,1,0,0,10,4,2,0,390,14,10,10,1.7,1.7,0.9,17,3,193,297,65.0,20,202,12,8,5,Burnley
