Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Eden Hazard,10.0,be BEL,FW,27-024,90,0,0,0,0,4,1,0,0,65,0,0,0,0.2,0.2,0.3,11,0,37,49,75.5,6,53,5,10,9,Chelsea
Ross Barkley,8.0,eng ENG,AM,24-057,53,0,0,0,0,1,0,0,0,26,0,0,1,0.1,0.1,0.0,2,0,16,22,72.7,1,15,1,0,0,Chelsea
Cesc Fàbregas,4.0,es ESP,"AM,LM",30-272,37,0,0,0,0,0,0,1,0,37,1,1,0,0.0,0.0,0.1,6,0,28,34,82.4,7,26,0,0,0,Chelsea
Pedro,11.0,es ESP,"AM,RW",30-187,90,0,0,0,0,4,1,0,0,64,2,0,1,0.3,0.3,0.2,6,0,39,47,83.0,9,42,4,6,3,Chelsea
Tiemoué Bakayoko,14.0,fr FRA,CM,23-167,90,0,0,0,0,2,1,0,0,55,2,0,2,0.1,0.1,0.0,0,0,41,46,89.1,3,30,0,3,1,Chelsea
N'Golo Kanté,7.0,fr FRA,"CM,RM",26-308,90,0,0,0,0,0,0,0,0,85,4,1,1,0.0,0.0,0.0,4,0,68,76,89.5,12,60,3,3,3,Chelsea
Marcos Alonso,3.0,es ESP,"WB,LB",27-034,90,0,0,0,0,4,0,0,0,71,0,1,1,0.3,0.3,0.2,4,0,49,64,76.6,4,41,3,2,1,Chelsea
Davide Zappacosta,21.0,it ITA,WB,25-234,64,0,0,0,0,1,0,0,0,48,1,1,1,0.0,0.0,0.1,2,0,28,35,80.0,0,22,2,3,0,Chelsea
Callum Hudson-Odoi,70.0,eng ENG,"WB,LW",17-085,26,0,0,0,0,2,1,0,0,19,0,0,0,0.1,0.1,0.0,2,0,9,14,64.3,1,15,3,5,5,Chelsea
Gary Cahill,24.0,eng ENG,CB,32-043,90,0,0,0,0,1,0,0,0,87,1,1,0,0.1,0.1,0.0,1,0,73,82,89.0,4,53,0,0,0,Chelsea
Andreas Christensen,27.0,dk DEN,CB,21-296,27,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,0,0,14,16,87.5,1,13,0,0,0,Chelsea
Antonio Rüdiger,2.0,de GER,CB,24-334,63,0,0,0,0,1,1,0,0,67,2,0,1,0.1,0.1,0.0,0,0,50,57,87.7,4,43,1,0,0,Chelsea
César Azpilicueta,28.0,es ESP,"CB,RB",28-156,90,0,0,0,0,1,0,0,0,108,2,1,3,0.0,0.0,0.0,3,0,77,100,77.0,8,62,1,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,25-265,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,31,41,75.6,0,27,0,0,0,Chelsea
14 Players,,,,,990,0,0,0,0,21,5,1,0,792,16,7,11,1.2,1.2,1.0,41,0,560,683,82.0,60,502,23,32,22,Chelsea
