Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Patrick Bamford,9.0,eng ENG,FW,27-210,64,0,0,0,0,2,1,0,0,20,0,0,0,0.5,0.5,0.2,6,0,13,15,86.7,1,10,1,0,0,Leeds United
Rodrigo,20.0,es ESP,FW,30-028,26,0,0,0,0,1,1,1,0,14,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,1,1,Leeds United
Jack Harrison,22.0,eng ENG,LM,24-134,90,1,0,0,0,3,2,0,0,49,3,0,1,1.1,1.1,0.1,4,0,24,36,66.7,5,24,6,2,0,Leeds United
Tyler Roberts,11.0,wls WAL,CM,22-081,80,0,0,0,0,3,1,0,0,44,1,0,0,0.1,0.1,0.3,2,0,25,37,67.6,4,24,1,0,0,Leeds United
Mateusz Klich,43.0,pl POL,CM,30-294,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,1,3,1,0,0,Leeds United
Stuart Dallas,15.0,nir NIR,CM,29-349,89,0,0,0,0,4,1,0,0,67,2,0,6,0.2,0.2,0.0,6,0,48,55,87.3,7,29,4,0,0,Leeds United
Robin Koch,5.0,de GER,CM,24-260,1,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Leeds United
Raphinha,18.0,br BRA,RM,24-110,90,0,1,0,0,3,0,0,0,72,0,2,4,0.2,0.2,0.9,7,2,30,52,57.7,7,37,7,9,6,Leeds United
Kalvin Phillips,23.0,eng ENG,DM,25-122,90,0,0,0,0,2,1,0,0,65,0,3,3,0.0,0.0,0.0,3,0,47,55,85.5,3,22,0,1,0,Leeds United
Ezgjan Alioski,10.0,mk MKD,LB,29-050,90,0,0,0,0,4,1,0,0,83,1,0,1,0.2,0.2,0.0,8,0,58,73,79.5,9,40,3,0,0,Leeds United
Liam Cooper,6.0,sct SCO,CB,29-216,90,0,0,0,0,0,0,0,0,56,1,2,1,0.0,0.0,0.0,0,0,40,51,78.4,2,18,0,0,0,Leeds United
Diego Llorente,14.0,es ESP,CB,27-230,90,0,0,0,0,1,0,0,0,53,3,1,0,0.1,0.1,0.0,0,0,34,41,82.9,0,28,0,2,1,Leeds United
Luke Ayling,2.0,eng ENG,RB,29-221,90,0,0,0,0,0,0,0,0,89,3,2,2,0.0,0.0,0.3,2,0,61,74,82.4,3,37,3,1,1,Leeds United
Illan Meslier,1.0,fr FRA,GK,21-032,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,24,30,80.0,0,14,0,0,0,Leeds United
14 Players,,,,,990,1,1,0,0,23,8,1,0,653,15,11,18,2.4,2.4,1.9,39,2,413,534,77.3,42,292,26,16,9,Leeds United
