Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Raúl Jiménez,9.0,mx MEX,"FW,AM",29-187,90,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,27,35,77.1,3,24,2,0,0,Leicester City
Daniel Podence,10.0,pt POR,AM,25-018,59,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,3,0,11,14,78.6,2,13,2,1,0,Leicester City
Adama Traoré,37.0,es ESP,AM,24-288,31,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,2,0,12,15,80.0,1,14,2,2,1,Leicester City
Pedro Neto,7.0,pt POR,AM,20-244,78,0,0,0,0,1,1,0,0,49,1,3,1,0.1,0.1,0.0,2,0,23,36,63.9,1,26,3,4,1,Leicester City
Fábio Silva,17.0,pt POR,FW,18-112,12,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,Leicester City
Rúben Neves,8.0,pt POR,CM,23-240,90,0,0,0,0,3,1,1,0,90,3,4,1,0.2,0.2,0.3,3,0,69,76,90.8,9,46,1,0,0,Leicester City
Leander Dendoncker,32.0,be BEL,CM,25-207,90,0,0,0,0,1,0,1,0,40,3,0,0,0.3,0.3,0.0,1,0,27,34,79.4,2,10,0,0,0,Leicester City
Rayan Aït-Nouri,3.0,dz ALG,WB,19-155,75,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.0,0,0,28,37,75.7,1,23,2,3,1,Leicester City
Fernando Marçal,5.0,br BRA,WB,31-263,15,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,12,18,66.7,1,5,0,0,0,Leicester City
Nélson Semedo,22.0,pt POR,WB,26-358,90,0,0,0,0,1,0,0,0,88,2,0,1,0.0,0.0,0.2,2,0,62,80,77.5,7,53,3,3,0,Leicester City
Max Kilman,49.0,eng ENG,CB,23-169,90,0,0,0,0,1,0,1,0,70,1,0,1,0.2,0.2,0.0,0,0,55,66,83.3,5,42,0,0,0,Leicester City
Conor Coady,16.0,eng ENG,CB,27-257,90,0,0,0,0,0,0,0,0,53,3,0,0,0.0,0.0,0.0,1,0,39,43,90.7,1,26,0,1,1,Leicester City
Willy Boly,15.0,ci CIV,CB,29-279,90,0,0,0,0,0,0,0,0,84,1,3,2,0.0,0.0,0.0,2,0,62,71,87.3,10,47,1,2,2,Leicester City
Rui Patrício,11.0,pt POR,GK,32-267,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,11,21,52.4,0,6,0,0,0,Leicester City
14 Players,,,,,990,0,0,0,0,8,2,3,0,651,17,10,6,0.8,0.8,0.7,16,0,440,549,80.1,44,337,16,16,6,Leicester City
