Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Sergio Agüero,10.0,ar ARG,FW,32-270,60,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,1,0,23,26,88.5,1,25,0,1,0,Manchester City
Gabriel Jesus,9.0,br BRA,FW,23-330,30,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,10,1,0,0,Manchester City
Ferrán Torres,21.0,es ESP,LW,20-364,64,0,0,0,0,2,1,0,0,41,0,1,1,0.1,0.1,0.0,0,0,23,27,85.2,1,34,2,6,2,Manchester City
Phil Foden,47.0,eng ENG,LW,20-275,26,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.1,1,0,5,9,55.6,0,10,2,2,1,Manchester City
Riyad Mahrez,26.0,dz ALG,RW,30-006,90,0,1,0,0,2,0,0,0,51,2,0,1,0.1,0.1,0.1,3,1,36,43,83.7,0,44,4,0,0,Manchester City
İlkay Gündoğan,8.0,de GER,LM,30-126,88,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.0,1,0,51,54,94.4,4,49,3,0,0,Manchester City
Rodri,16.0,es ESP,LM,24-250,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Manchester City
Fernandinho,25.0,br BRA,CM,35-299,90,0,0,0,0,0,0,1,0,95,3,5,0,0.0,0.0,0.0,2,0,73,88,83.0,6,72,3,1,1,Manchester City
Kevin De Bruyne,17.0,be BEL,RM,29-244,90,0,1,0,0,2,0,0,0,75,2,1,0,0.1,0.1,0.1,3,1,50,66,75.8,6,63,4,4,4,Manchester City
Oleksandr Zinchenko,11.0,ua UKR,LB,24-074,90,0,0,0,0,0,0,0,0,118,0,4,0,0.0,0.0,0.1,3,1,96,109,88.1,18,94,3,0,0,Manchester City
Rúben Dias,3.0,pt POR,CB,23-289,90,1,0,0,0,1,1,0,0,88,0,1,0,0.1,0.1,0.0,0,0,76,80,95.0,4,75,0,0,0,Manchester City
John Stones,5.0,eng ENG,CB,26-275,90,1,0,0,0,2,1,0,0,82,0,1,2,0.1,0.1,0.0,1,0,70,75,93.3,2,68,0,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,30-275,90,0,0,0,0,1,0,0,0,106,2,0,0,0.0,0.0,0.0,1,1,90,98,91.8,7,81,5,2,0,Manchester City
Ederson,31.0,br BRA,GK,27-194,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,29,37,78.4,0,28,0,0,0,Manchester City
14 Players,,,,,990,2,2,0,0,10,3,1,0,805,11,14,5,0.5,0.5,0.4,16,4,629,719,87.5,50,653,27,16,8,Manchester City
