Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Edinson Cavani,7.0,uy URU,FW,33-341,90,1,0,0,0,2,2,0,0,26,2,0,0,0.8,0.8,0.0,1,0,15,19,78.9,2,13,0,0,0,Manchester United
Anthony Martial,9.0,fr FRA,LW,25-046,84,0,0,0,0,3,1,0,0,50,0,0,2,0.4,0.4,0.0,1,0,28,35,80.0,4,39,5,2,1,Manchester United
Scott McTominay,39.0,sct SCO,"DM,LW",24-043,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Manchester United
Mason Greenwood,11.0,eng ENG,RW,19-111,84,0,0,0,0,1,0,0,0,46,0,0,0,0.1,0.1,0.0,2,0,30,38,78.9,2,40,3,3,2,Manchester United
Marcus Rashford,10.0,eng ENG,RW,23-081,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,6,1,1,1,Manchester United
Bruno Fernandes,18.0,pt POR,AM,26-134,89,0,0,0,0,4,1,0,0,90,2,2,0,0.2,0.2,0.5,5,0,60,78,76.9,9,61,1,0,0,Manchester United
Nemanja Matić,31.0,rs SRB,AM,32-172,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,1,1,Manchester United
Fred,17.0,br BRA,DM,27-321,90,0,0,0,0,1,0,0,0,78,3,1,1,0.0,0.0,0.1,4,2,56,68,82.4,7,62,1,2,1,Manchester United
Paul Pogba,6.0,fr FRA,"DM,LW",27-311,90,1,0,0,0,1,1,1,0,98,4,3,1,0.0,0.0,0.0,5,1,73,86,84.9,7,64,1,2,2,Manchester United
Luke Shaw,23.0,eng ENG,LB,25-192,90,0,0,0,0,1,0,0,0,102,1,0,0,0.0,0.0,0.1,6,0,77,100,77.0,9,58,4,1,1,Manchester United
Harry Maguire,5.0,eng ENG,CB,27-321,90,0,0,0,0,2,0,0,0,86,1,1,0,0.1,0.1,0.0,1,0,73,78,93.6,7,59,2,0,0,Manchester United
Eric Bailly,3.0,ci CIV,CB,26-283,90,0,0,0,0,0,0,0,0,87,3,2,1,0.0,0.0,0.0,1,0,71,75,94.7,5,64,0,0,0,Manchester United
Aaron Wan-Bissaka,29.0,cd COD,RB,23-055,90,0,0,0,0,0,0,0,0,107,2,2,5,0.0,0.0,0.1,2,0,81,95,85.3,9,68,8,1,1,Manchester United
David de Gea,1.0,es ESP,GK,30-074,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,19,26,73.1,0,11,0,0,0,Manchester United
14 Players,,,,,990,2,0,0,0,15,5,1,0,808,18,11,10,1.7,1.7,0.9,28,3,587,705,83.3,61,547,26,13,10,Manchester United
