Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Son Heung-min,7.0,kr KOR,FW,29-073,90,0,0,0,0,2,1,0,0,43,0,1,1,0.1,0.1,0.0,3,0,26,34,76.5,1,22,1,2,1,Tottenham Hotspur
Harry Kane,10.0,eng ENG,AM,28-053,90,0,0,0,0,2,1,0,0,41,0,0,0,0.1,0.1,0.0,1,0,23,32,71.9,2,29,1,2,1,Tottenham Hotspur
Giovani Lo Celso,18.0,ar ARG,AM,25-163,61,0,0,0,0,3,0,0,0,39,0,0,1,0.2,0.2,0.1,3,0,24,30,80.0,1,32,2,2,0,Tottenham Hotspur
Bryan Gil,11.0,es ESP,AM,20-220,29,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,9,1,2,1,Tottenham Hotspur
Dele Alli,20.0,eng ENG,LM,25-161,90,0,0,0,0,0,0,0,0,60,2,0,3,0.0,0.0,0.0,1,0,32,42,76.2,2,37,0,4,2,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,"CM,RM",26-045,90,0,0,0,0,0,0,0,0,77,3,3,2,0.0,0.0,0.0,0,0,58,69,84.1,3,53,0,0,0,Tottenham Hotspur
Tanguy Ndombele,28.0,fr FRA,RM,24-265,61,0,0,0,0,1,0,0,0,44,3,0,0,0.0,0.0,0.0,2,0,33,37,89.2,3,32,1,1,1,Tottenham Hotspur
Oliver Skipp,29.0,eng ENG,CM,21-003,29,0,0,0,0,0,0,0,0,24,2,0,1,0.0,0.0,0.0,0,0,17,19,89.5,3,16,0,0,0,Tottenham Hotspur
Sergio Reguilón,3.0,es ESP,LB,24-277,90,0,0,0,0,0,0,0,0,64,2,1,2,0.0,0.0,0.0,3,0,43,55,78.2,2,44,2,1,1,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,27-247,90,0,0,0,0,0,0,0,0,75,0,1,1,0.0,0.0,0.0,0,0,54,64,84.4,2,48,0,0,0,Tottenham Hotspur
Cristian Romero,4.0,ar ARG,CB,23-145,82,0,0,0,0,0,0,0,0,54,3,2,4,0.0,0.0,0.0,1,0,37,42,88.1,2,36,1,0,0,Tottenham Hotspur
Davinson Sánchez,6.0,co COL,CB,25-099,8,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,0,7,0,0,0,Tottenham Hotspur
Emerson,12.0,br BRA,RB,22-248,90,0,0,0,0,0,0,0,0,57,5,1,2,0.0,0.0,0.0,2,0,33,40,82.5,2,28,1,0,0,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,34-267,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,18,26,69.2,0,15,0,0,0,Tottenham Hotspur
14 Players,,,,,990,0,0,0,0,8,2,0,0,633,20,9,18,0.5,0.5,0.2,16,0,414,510,81.2,23,408,10,14,7,Tottenham Hotspur
