Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Emmanuel Dennis,25.0,ng NGA,FW,23-272,65,1,1,0,0,5,3,0,0,27,2,0,0,0.6,0.6,0.2,7,2,12,15,80.0,2,20,3,3,1,Watford
Cucho,29.0,co COL,"LW,FW",22-116,25,1,0,0,0,2,2,0,0,9,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,1,7,2,1,0,Watford
Ken Sema,12.0,se SWE,"LM,AM",27-318,90,0,0,0,0,0,0,1,0,27,2,0,1,0.0,0.0,0.4,4,0,12,20,60.0,1,18,4,2,1,Watford
Juraj Kucka,33.0,sk SVK,CM,34-169,68,0,0,0,0,2,0,1,0,29,4,1,0,0.1,0.1,0.0,2,1,11,14,78.6,4,15,2,3,3,Watford
Dan Gosling,16.0,eng ENG,"DM,CM",31-194,22,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,3,0,0,0,Watford
Tom Cleverley,8.0,eng ENG,CM,32-002,78,0,1,0,0,0,0,0,0,32,2,2,0,0.0,0.0,0.0,2,1,17,28,60.7,5,20,1,0,0,Watford
Troy Deeney,9.0,eng ENG,FW,33-046,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Watford
Ismaila Sarr,23.0,sn SEN,"RM,RW",23-170,90,1,0,0,0,3,2,0,0,39,0,1,0,0.2,0.2,0.3,7,1,17,25,68.0,4,31,8,4,4,Watford
Oghenekaro Etebo,4.0,ng NGA,DM,25-278,90,0,0,0,0,0,0,1,0,46,2,3,2,0.0,0.0,0.0,2,0,29,36,80.6,2,22,0,3,2,Watford
Adam Masina,11.0,ma MAR,LB,27-224,90,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,24,41,58.5,3,22,1,2,2,Watford
Christian Kabasele,27.0,be BEL,CB,30-171,90,0,0,0,0,1,0,0,0,54,0,1,1,0.3,0.3,0.0,0,0,36,41,87.8,0,30,0,0,0,Watford
William Troost-Ekong,5.0,ng NGA,CB,27-347,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,36,43,83.7,0,32,0,0,0,Watford
Craig Cathcart,15.0,nir NIR,RB,32-189,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,0,0,26,39,66.7,4,21,1,0,0,Watford
Daniel Bachmann,26.0,at AUT,GK,27-036,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,22,32,68.8,0,24,0,0,0,Watford
14 Players,,,,,990,3,2,0,0,13,7,3,0,453,15,9,5,1.2,1.2,1.0,24,5,252,349,72.2,26,265,22,18,13,Watford
