Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jarrod Bowen,20.0,eng ENG,"FW,RW",25-006,90,0,1,0,0,0,0,1,0,34,0,0,1,0.0,0.0,0.3,2,1,12,24,50.0,0,15,3,1,0,West Ham United
Saïd Benrahma,22.0,dz ALG,LW,26-138,80,1,0,0,0,2,1,0,0,40,0,0,1,0.3,0.3,0.0,0,0,22,31,71.0,2,20,2,2,1,West Ham United
Andriy Yarmolenko,7.0,ua UKR,RW,32-064,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,1,0,7,10,70.0,1,7,3,0,0,West Ham United
Nikola Vlašić,11.0,hr CRO,RW,24-083,45,0,0,0,0,1,1,0,0,19,2,0,0,0.1,0.1,0.0,0,0,9,14,64.3,2,8,1,2,1,West Ham United
Michail Antonio,9.0,jm JAM,"FW,LW",31-273,45,1,0,0,0,3,2,0,0,14,0,0,0,0.9,0.9,0.0,2,0,5,9,55.6,1,11,1,1,0,West Ham United
Pablo Fornals,8.0,es ESP,AM,25-307,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,1,0,14,25,56.0,3,9,0,0,0,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,28-314,45,0,0,0,0,0,0,0,0,55,0,1,1,0.0,0.0,0.3,6,0,47,54,87.0,8,32,3,4,4,West Ham United
Declan Rice,41.0,eng ENG,DM,22-346,90,0,0,0,0,2,0,1,0,88,1,0,0,0.0,0.0,0.0,0,0,71,81,87.7,10,53,3,1,0,West Ham United
Tomáš Souček,28.0,cz CZE,DM,26-302,90,0,0,0,0,1,0,0,0,50,1,2,1,0.2,0.2,0.1,2,1,27,39,69.2,5,12,1,1,1,West Ham United
Arthur Masuaku,26.0,cd COD,LB,28-049,90,0,0,0,0,1,0,0,0,80,4,1,2,0.0,0.0,0.0,1,0,53,69,76.8,7,23,3,0,0,West Ham United
Issa Diop,23.0,fr FRA,CB,24-351,90,0,0,0,0,0,0,0,0,46,1,1,1,0.0,0.0,0.0,0,0,32,37,86.5,2,18,0,0,0,West Ham United
Craig Dawson,15.0,eng ENG,CB,31-234,90,0,1,0,0,1,0,1,0,66,3,3,1,0.1,0.1,0.8,3,1,42,52,80.8,5,27,1,0,0,West Ham United
Vladimír Coufal,5.0,cz CZE,RB,29-126,90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,1,0,35,52,67.3,2,14,0,2,1,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,36-252,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,14,64.3,0,5,0,0,0,West Ham United
14 Players,,,,,990,2,2,0,0,11,4,3,0,603,13,9,8,1.6,1.6,1.6,19,3,385,511,75.3,48,254,21,14,8,West Ham United
