Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Marko Arnautović,7.0,at AUT,FW,29-268,70,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.0,1,0,16,21,76.2,1,16,0,0,0,West Ham United
Andy Carroll,9.0,eng ENG,FW,30-006,20,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,8,0,1,0,West Ham United
Felipe Anderson,8.0,br BRA,"LW,LM",25-272,90,0,0,0,0,2,0,0,0,58,3,1,1,0.1,0.1,0.3,6,1,33,46,71.7,3,27,6,7,5,West Ham United
Michail Antonio,30.0,jm JAM,RW,28-290,81,0,0,0,0,2,1,0,0,36,0,1,1,0.1,0.1,0.0,0,0,19,26,73.1,2,19,2,6,2,West Ham United
Pedro Obiang,14.0,gq EQG,CM,26-291,9,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,4,0,1,1,West Ham United
Samir Nasri,18.0,fr FRA,AM,31-200,70,0,1,0,0,1,0,0,0,37,0,0,1,0.0,0.0,0.2,7,1,28,34,82.4,4,20,4,2,1,West Ham United
Robert Snodgrass,11.0,sct SCO,"RM,AM",31-127,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,7,2,0,0,West Ham United
Declan Rice,41.0,eng ENG,"DM,CM",19-363,90,1,0,0,0,2,1,0,0,54,2,3,2,0.1,0.1,0.0,0,0,36,42,85.7,1,30,0,1,1,West Ham United
Mark Noble,16.0,eng ENG,"DM,FW",31-249,90,0,0,0,0,1,1,0,0,55,0,1,1,0.1,0.1,0.0,4,0,43,51,84.3,11,32,2,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,29-028,90,0,0,0,0,1,0,0,0,48,2,3,3,0.1,0.1,0.0,1,0,27,39,69.2,4,19,2,1,1,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,30-234,90,0,0,0,0,1,0,0,0,35,1,3,1,0.1,0.1,0.0,0,0,24,27,88.9,0,15,0,0,0,West Ham United
Issa Diop,23.0,fr FRA,CB,22-003,90,0,0,0,0,0,0,0,0,46,2,2,1,0.0,0.0,0.0,0,0,32,36,88.9,3,19,0,0,0,West Ham United
Pablo Zabaleta,5.0,ar ARG,RB,33-361,90,0,0,0,0,0,0,0,0,44,0,3,1,0.0,0.0,0.0,1,0,30,36,83.3,3,14,3,1,1,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,33-269,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,23,41,56.1,0,18,0,0,0,West Ham United
14 Players,,,,,990,1,1,0,0,11,3,0,0,507,11,17,12,0.6,0.6,0.6,20,2,329,424,77.6,32,248,21,20,12,West Ham United
