Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Diogo Jota,18.0,pt POR,FW,22-130,86,0,0,0,0,2,0,0,0,47,0,0,0,0.1,0.1,0.0,3,0,26,36,72.2,0,28,4,7,3,Wolverhampton Wanderers
Hélder Costa,10.0,ao ANG,FW,25-091,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,FW,27-343,90,0,0,0,0,2,1,1,0,40,0,2,2,0.2,0.2,0.0,0,0,19,24,79.2,0,22,2,5,0,Wolverhampton Wanderers
João Moutinho,28.0,pt POR,CM,32-217,90,0,1,0,0,0,0,1,0,92,1,0,1,0.0,0.0,0.2,8,1,72,90,80.0,11,47,6,0,0,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,CM,22-031,68,0,0,0,0,4,0,0,0,87,0,1,0,0.1,0.1,0.0,4,1,63,80,78.8,2,55,0,0,0,Wolverhampton Wanderers
Morgan Gibbs-White,17.0,eng ENG,CM,19-076,22,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,5,0,0,0,Wolverhampton Wanderers
Leander Dendoncker,32.0,be BEL,CM,23-363,90,0,0,0,0,1,0,0,0,76,3,3,0,0.0,0.0,0.1,3,0,51,64,79.7,5,35,1,1,1,Wolverhampton Wanderers
Jonny Castro,19.0,es ESP,WB,25-041,90,0,0,0,0,1,0,0,0,69,3,0,1,0.0,0.0,0.1,2,0,44,55,80.0,4,23,5,4,4,Wolverhampton Wanderers
Matt Doherty,2.0,ie IRL,WB,27-087,59,0,0,0,0,2,0,0,0,45,1,1,1,0.1,0.1,0.0,4,0,24,36,66.7,4,14,3,3,1,Wolverhampton Wanderers
Adama Traoré,37.0,es ESP,WB,23-078,31,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,1,0,7,13,53.8,0,8,1,2,2,Wolverhampton Wanderers
Willy Boly,15.0,ci CIV,CB,28-069,90,1,0,0,0,3,1,0,0,101,5,3,0,0.2,0.2,0.1,1,0,68,80,85.0,8,50,1,2,2,Wolverhampton Wanderers
Conor Coady,16.0,eng ENG,CB,26-047,90,0,0,0,0,0,0,0,0,88,0,1,0,0.0,0.0,0.0,0,0,76,85,89.4,5,56,2,0,0,Wolverhampton Wanderers
Romain Saïss,27.0,ma MAR,CB,29-018,90,0,0,0,0,1,0,1,0,104,4,4,2,0.0,0.0,0.0,2,0,75,91,82.4,4,52,1,0,0,Wolverhampton Wanderers
Rui Patrício,11.0,pt POR,GK,31-057,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,11,18,61.1,0,8,0,0,0,Wolverhampton Wanderers
14 Players,,,,,990,1,1,0,0,17,2,3,0,798,17,15,7,0.8,0.8,0.4,28,2,542,681,79.6,43,405,26,25,13,Wolverhampton Wanderers
