Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Daniel Podence,10.0,pt POR,"FW,AM",24-336,90,0,1,0,0,2,0,0,0,35,3,0,0,0.2,0.2,0.1,3,2,20,25,80.0,1,21,1,2,1,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,FW,29-139,90,1,0,0,0,3,1,0,0,30,1,0,0,0.2,0.2,0.0,2,0,13,18,72.2,1,19,2,1,0,Wolverhampton Wanderers
Pedro Neto,7.0,pt POR,CM,20-196,77,0,0,0,0,2,0,0,0,38,2,1,1,0.1,0.1,0.1,4,0,26,28,92.9,2,23,4,2,1,Wolverhampton Wanderers
Fábio Silva,17.0,pt POR,FW,18-064,13,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,CM,23-192,90,0,0,0,0,2,0,0,0,64,2,2,2,0.1,0.1,0.0,3,0,46,54,85.2,5,33,0,0,0,Wolverhampton Wanderers
João Moutinho,28.0,pt POR,CM,34-013,77,0,0,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.1,2,0,24,32,75.0,4,20,0,0,0,Wolverhampton Wanderers
Leander Dendoncker,32.0,be BEL,CM,25-159,13,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Wolverhampton Wanderers
Fernando Marçal,5.0,br BRA,LB,31-215,7,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Wolverhampton Wanderers
Rúben Vinagre,29.0,pt POR,"LB,WB",21-165,83,0,0,0,0,0,0,0,0,47,3,1,1,0.0,0.0,0.0,0,0,29,36,80.6,1,24,2,4,2,Wolverhampton Wanderers
Romain Saïss,27.0,ma MAR,CB,30-179,90,0,0,0,0,0,0,0,0,58,3,5,2,0.0,0.0,0.0,0,0,37,44,84.1,6,39,0,4,1,Wolverhampton Wanderers
Conor Coady,16.0,eng ENG,CB,27-209,90,0,0,0,0,0,0,0,0,47,1,2,0,0.0,0.0,0.0,1,0,30,40,75.0,0,30,0,1,0,Wolverhampton Wanderers
Willy Boly,15.0,ci CIV,CB,29-231,90,0,0,0,0,1,0,0,0,51,3,3,2,0.0,0.0,0.0,2,0,23,37,62.2,1,21,0,0,0,Wolverhampton Wanderers
Adama Traoré,37.0,es ESP,"RB,WB",24-240,90,0,0,0,0,0,0,0,0,61,3,1,2,0.0,0.0,0.2,3,0,24,43,55.8,3,34,8,8,7,Wolverhampton Wanderers
Rui Patrício,11.0,pt POR,GK,32-219,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,16,27,59.3,0,16,0,0,0,Wolverhampton Wanderers
14 Players,,,,,990,1,1,0,0,10,1,0,0,510,25,15,12,0.6,0.6,0.6,20,2,294,391,75.2,24,285,17,22,12,Wolverhampton Wanderers
