Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,26-121,90,1,0,0,0,6,1,0,0,37,2,0,1,0.6,0.6,0.2,3,0,16,23,69.6,2,27,6,1,0,Aston Villa
Philippe Coutinho,23.0,br BRA,"LM,AM",29-322,75,0,0,0,0,4,0,0,0,50,2,1,2,0.2,0.2,0.2,7,0,26,37,70.3,5,33,7,1,0,Aston Villa
Emi Buendía,10.0,ar ARG,AM,25-126,15,0,1,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.4,3,0,20,22,90.9,3,19,2,3,3,Aston Villa
Jacob Ramsey,41.0,eng ENG,"LM,CM",20-337,90,0,0,0,0,2,1,1,0,61,2,2,2,0.4,0.4,0.2,5,1,41,50,82.0,5,43,9,3,2,Aston Villa
John McGinn,7.0,sct SCO,"RM,CM",27-194,90,0,0,0,0,1,0,0,0,47,6,1,1,0.1,0.1,0.0,2,0,31,40,77.5,5,30,3,3,3,Aston Villa
Leon Bailey,31.0,jm JAM,RM,24-264,39,0,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.0,0,0,8,13,61.5,1,12,1,2,0,Aston Villa
Danny Ings,20.0,eng ENG,FW,29-281,51,1,1,0,0,4,2,1,0,26,1,0,2,0.4,0.4,0.2,6,1,11,16,68.8,2,15,1,0,0,Aston Villa
Tim Iroegbunam,47.0,eng ENG,DM,18-304,72,0,0,0,0,1,0,1,0,24,3,2,0,0.1,0.1,0.0,0,0,14,17,82.4,2,11,0,0,0,Aston Villa
Douglas Luiz,6.0,br BRA,DM,23-356,18,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,1,0,15,15,100.0,0,13,0,0,0,Aston Villa
Lucas Digne,27.0,fr FRA,LB,28-284,90,0,0,0,0,0,0,0,0,64,1,2,1,0.0,0.0,0.2,8,1,48,56,85.7,4,37,3,0,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,29-048,90,0,0,0,0,0,0,0,0,40,0,3,0,0.0,0.0,0.0,0,0,23,35,65.7,1,26,0,0,0,Aston Villa
Calum Chambers,16.0,eng ENG,CB,27-100,90,0,0,0,0,0,0,1,0,52,5,1,0,0.0,0.0,0.0,0,0,35,42,83.3,1,35,0,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,24-266,90,0,0,0,0,1,1,0,0,57,1,1,0,0.0,0.0,0.0,1,0,38,49,77.6,2,30,4,2,1,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,29-240,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,0,16,0,0,0,Aston Villa
14 Players,,,,,990,2,2,0,0,21,6,4,0,546,26,13,9,1.8,1.8,1.5,36,3,347,443,78.3,33,347,36,15,9,Aston Villa
