Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,26-058,90,1,0,0,0,1,1,1,0,25,1,0,1,0.5,0.5,0.0,0,0,9,13,69.2,2,19,2,1,1,Aston Villa
Danny Ings,20.0,eng ENG,FW,29-218,78,0,0,0,0,0,0,0,0,22,3,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,12,0,3,0,Aston Villa
Ashley Young,18.0,eng ENG,RW,36-232,12,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,5,1,1,0,Aston Villa
Philippe Coutinho,23.0,br BRA,"AM,LW",29-259,85,0,0,0,0,2,1,0,0,34,2,1,1,0.1,0.1,0.0,3,1,19,23,82.6,2,24,0,2,2,Aston Villa
Tim Iroegbunam,47.0,eng ENG,LW,18-241,5,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,LM,20-274,90,0,0,0,0,1,0,0,0,34,5,1,2,0.1,0.1,0.0,2,0,19,23,82.6,3,24,1,1,1,Aston Villa
John McGinn,7.0,sct SCO,"RM,CM",27-131,90,0,0,0,0,3,1,0,0,46,3,2,2,0.3,0.3,0.0,2,0,25,29,86.2,4,33,4,1,1,Aston Villa
Douglas Luiz,6.0,br BRA,DM,23-293,71,0,0,0,0,0,0,1,0,42,3,0,1,0.0,0.0,0.0,3,0,27,31,87.1,3,15,0,2,1,Aston Villa
Morgan Sanson,8.0,fr FRA,"RM,DM",27-192,19,0,0,0,0,0,0,0,0,9,1,1,2,0.0,0.0,0.0,0,0,1,3,33.3,0,6,1,0,0,Aston Villa
Lucas Digne,27.0,fr FRA,LB,28-221,90,0,0,0,0,0,0,0,0,52,0,2,3,0.0,0.0,0.0,3,1,32,47,68.1,4,30,2,0,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,28-350,90,0,1,0,0,0,0,1,0,34,1,1,3,0.0,0.0,0.5,1,1,24,28,85.7,1,22,2,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,24-126,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,29,32,90.6,0,23,0,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,24-203,90,1,0,0,0,2,1,1,0,50,2,0,0,0.1,0.1,0.0,0,0,22,33,66.7,0,22,1,0,0,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,29-177,90,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,1,1,21,31,67.7,0,17,0,0,0,Aston Villa
14 Players,,,,,990,2,1,0,0,9,4,5,0,435,22,8,15,1.0,1.0,0.6,16,4,246,316,77.8,21,256,14,11,6,Aston Villa
