Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Armando Broja,18.0,al ALB,FW,21-063,72,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.1,1,0,10,11,90.9,1,13,0,3,1,Chelsea
Kai Havertz,29.0,de GER,FW,23-154,18,0,0,0,0,1,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,1,0,0,Chelsea
Mason Mount,19.0,eng ENG,AM,23-306,72,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,1,0,12,18,66.7,4,18,3,2,1,Chelsea
Hakim Ziyech,22.0,ma MAR,RW,29-238,18,0,0,0,0,0,0,0,0,18,4,0,0,0.0,0.0,0.0,1,0,10,15,66.7,3,9,0,0,0,Chelsea
Conor Gallagher,23.0,eng ENG,"AM,RM,WB",22-279,90,0,0,0,0,1,1,0,0,54,2,1,2,0.1,0.1,0.1,3,0,29,36,80.6,3,31,0,1,0,Chelsea
Mateo Kovačić,8.0,hr CRO,"CM,LM",28-190,90,0,0,0,0,1,0,0,0,56,1,3,1,0.1,0.1,0.0,1,0,37,47,78.7,7,35,3,0,0,Chelsea
Jorginho,5.0,it ITA,CM,30-327,90,0,0,0,0,0,0,1,0,59,4,1,1,0.0,0.0,0.0,0,0,44,52,84.6,1,28,0,1,0,Chelsea
Lewis Hall,67.0,eng ENG,"WB,LB",18-065,72,0,0,0,0,0,0,0,0,39,1,3,0,0.0,0.0,0.1,2,0,20,29,69.0,0,23,2,5,2,Chelsea
Marc Cucurella,32.0,es ESP,LB,24-113,18,0,0,0,0,0,0,0,0,23,2,1,0,0.0,0.0,0.0,0,0,16,20,80.0,1,13,0,0,0,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,WB,26-293,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,Chelsea
Thiago Silva,6.0,br BRA,CB,38-051,84,0,0,0,0,1,0,0,0,81,1,2,1,0.0,0.0,0.0,0,0,66,70,94.3,5,45,0,0,0,Chelsea
Kalidou Koulibaly,26.0,sn SEN,CB,31-145,90,0,0,0,0,0,0,1,0,67,1,0,0,0.0,0.0,0.0,1,0,46,60,76.7,3,43,0,0,0,Chelsea
Trevoh Chalobah,14.0,eng ENG,"CB,RB",23-130,90,0,0,0,0,0,0,0,0,71,3,1,0,0.0,0.0,0.0,0,0,58,62,93.5,2,45,3,2,1,Chelsea
César Azpilicueta,28.0,es ESP,"WB,CB",33-076,45,0,0,0,0,0,0,0,0,32,1,1,0,0.0,0.0,0.0,0,0,22,27,81.5,1,14,0,0,0,Chelsea
Christian Pulisic,10.0,us USA,"AM,LW",24-055,45,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,20,3,6,2,Chelsea
Edouard Mendy,16.0,sn SEN,GK,30-256,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,35,47,74.5,0,30,0,0,0,Chelsea
16 Players,,,,,990,0,0,0,0,5,2,2,0,626,23,13,6,0.3,0.3,0.3,10,0,423,516,82.0,33,373,15,20,7,Chelsea
