Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Kai Havertz,29.0,de GER,"FW,AM",23-119,85,1,0,0,0,4,2,0,0,33,1,0,0,0.7,0.7,0.0,2,0,18,22,81.8,2,23,2,1,0,Chelsea
Hakim Ziyech,22.0,ma MAR,AM,29-203,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Chelsea
Christian Pulisic,10.0,us USA,LW,24-020,71,1,0,0,0,4,2,0,0,43,1,0,1,0.5,0.5,0.1,4,1,28,33,84.8,3,33,4,1,0,Chelsea
Reece James,24.0,eng ENG,WB,22-304,19,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,7,2,2,0,Chelsea
Conor Gallagher,23.0,eng ENG,"RW,AM",22-244,85,0,0,0,0,2,0,0,0,68,5,2,1,0.1,0.1,0.4,5,0,44,56,78.6,8,45,3,1,0,Chelsea
Carney Chukwuemeka,30.0,eng ENG,AM,18-353,5,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,1,2,1,0,0,Chelsea
Mason Mount,19.0,eng ENG,AM,23-271,71,0,2,0,0,3,0,0,0,51,0,0,1,0.1,0.1,0.5,8,2,35,44,79.5,7,38,2,3,2,Chelsea
Armando Broja,18.0,al ALB,FW,21-028,19,1,0,0,0,1,1,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,3,1,0,0,Chelsea
Jorginho,5.0,it ITA,"DM,CM",30-292,90,0,0,0,0,1,1,1,0,70,4,1,2,0.0,0.0,0.0,1,1,54,58,93.1,6,52,1,1,1,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,DM,26-258,65,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.4,2,0,34,39,87.2,5,32,2,1,0,Chelsea
Mateo Kovačić,8.0,hr CRO,"CM,DM",28-155,25,0,1,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.1,1,1,14,15,93.3,1,12,1,0,0,Chelsea
Marc Cucurella,32.0,es ESP,"LB,WB",24-078,90,0,0,0,0,0,0,0,0,86,4,1,1,0.0,0.0,0.0,4,0,68,79,86.1,3,62,3,1,1,Chelsea
Kalidou Koulibaly,26.0,sn SEN,CB,31-110,90,0,0,0,0,1,0,0,0,90,5,1,1,0.1,0.1,0.0,3,0,72,80,90.0,3,73,0,0,0,Chelsea
Trevoh Chalobah,14.0,eng ENG,CB,23-095,90,0,0,0,0,2,1,0,0,90,2,1,0,0.1,0.1,0.0,1,1,77,80,96.3,7,68,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,"RB,CB",33-041,90,0,0,0,0,1,0,1,0,97,2,2,3,0.1,0.1,0.3,5,0,65,84,77.4,7,57,1,0,0,Chelsea
Kepa Arrizabalaga,1.0,es ESP,GK,28-005,90,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,19,0,0,0,Chelsea
16 Players,,,,,990,3,3,0,0,20,7,2,0,738,26,8,12,1.9,1.9,1.7,36,6,547,634,86.3,54,527,23,11,4,Chelsea
