Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Odsonne Édouard,22.0,fr FRA,FW,24-279,90,0,0,0,0,1,0,0,0,25,0,0,0,0.2,0.2,0.0,2,0,10,17,58.8,3,16,4,1,1,Crystal Palace
Wilfried Zaha,11.0,ci CIV,LM,29-346,90,0,0,0,0,1,1,1,0,37,1,0,1,0.0,0.0,0.0,5,0,19,21,90.5,0,31,3,7,2,Crystal Palace
Eberechi Eze,10.0,eng ENG,CM,24-115,90,0,0,0,0,2,0,0,0,59,2,0,0,0.1,0.1,0.3,5,0,39,49,79.6,3,39,1,2,0,Crystal Palace
Jordan Ayew,9.0,gh GHA,"CM,RM",31-041,74,0,0,0,0,0,0,0,0,26,4,0,1,0.0,0.0,0.4,3,0,10,13,76.9,0,14,0,2,1,Crystal Palace
Malcolm Ebiowei,23.0,eng ENG,RM,19-048,16,0,0,0,0,0,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,0,0,Crystal Palace
Michael Olise,7.0,fr FRA,RM,20-314,61,0,0,0,0,2,0,0,0,40,2,0,2,0.3,0.3,0.0,0,0,22,28,78.6,0,25,0,1,1,Crystal Palace
Jean-Philippe Mateta,14.0,fr FRA,FW,25-116,29,0,0,0,0,1,0,1,0,10,0,0,0,0.2,0.2,0.0,0,0,3,6,50.0,0,4,1,0,0,Crystal Palace
Luka Milivojević,4.0,rs SRB,DM,31-198,61,0,0,0,0,1,0,0,0,43,1,0,3,0.0,0.0,0.0,0,0,32,37,86.5,0,26,0,0,0,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,DM,29-303,29,0,0,0,0,0,0,1,0,18,2,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,12,0,0,0,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,LB,23-051,90,0,0,0,0,0,0,0,0,83,3,1,1,0.0,0.0,0.0,1,0,61,75,81.3,7,51,3,0,0,Crystal Palace
Marc Guéhi,6.0,eng ENG,CB,22-101,90,0,0,0,0,0,0,1,0,88,0,0,0,0.0,0.0,0.0,1,0,75,82,91.5,4,67,1,1,0,Crystal Palace
Joachim Andersen,16.0,dk DEN,CB,26-144,90,0,0,0,0,1,1,0,0,81,3,0,1,0.1,0.1,0.0,0,0,59,70,84.3,4,53,0,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,RB,32-358,90,0,0,0,0,0,0,0,0,60,1,1,2,0.0,0.0,0.0,0,0,46,56,82.1,4,34,0,0,0,Crystal Palace
Vicente Guaita,13.0,es ESP,GK,35-285,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,24,26,92.3,0,19,0,0,0,Crystal Palace
14 Players,,,,,990,0,0,0,0,9,2,4,0,605,20,2,12,0.9,0.9,0.8,17,0,415,499,83.2,25,395,13,14,5,Crystal Palace
