Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Carlos Vinícius,30.0,br BRA,FW,27-293,89,1,0,0,0,3,2,0,0,28,2,0,3,0.7,0.7,0.1,1,0,6,10,60.0,1,16,0,1,0,Fulham
Nathaniel Chalobah,12.0,eng ENG,DM,28-031,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Fulham
Willian,20.0,br BRA,LW,34-156,82,1,0,0,0,2,1,0,0,43,0,0,0,0.1,0.1,0.0,1,0,31,38,81.6,8,26,2,3,1,Fulham
Manor Solomon,11.0,il ISR,LW,23-172,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,3,0,0,0,Fulham
Bobby De Cordova-Reid,14.0,jm JAM,RW,29-344,67,0,0,0,0,1,0,0,0,31,1,0,1,0.1,0.1,0.0,2,1,10,20,50.0,1,10,0,2,0,Fulham
Harry Wilson,8.0,wls WAL,RW,25-296,23,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,14,20,70.0,1,12,1,1,1,Fulham
Andreas Pereira,18.0,br BRA,AM,27-011,89,0,1,0,0,1,0,1,0,48,0,0,1,0.0,0.0,0.5,3,1,31,42,73.8,6,23,3,0,0,Fulham
Daniel James,21.0,wls WAL,"FW,AM",25-063,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Fulham
Harrison Reed,6.0,eng ENG,DM,27-350,67,0,0,0,0,1,0,0,0,33,1,1,2,0.0,0.0,0.0,0,0,16,24,66.7,1,12,1,1,0,Fulham
Tom Cairney,10.0,sct SCO,"DM,AM",31-357,23,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,24,25,96.0,3,16,1,1,0,Fulham
João Palhinha,26.0,pt POR,DM,27-187,90,0,0,0,0,0,0,0,0,52,3,1,3,0.0,0.0,0.0,0,0,35,42,83.3,3,21,0,0,0,Fulham
Antonee Robinson,33.0,us USA,LB,25-157,90,0,0,0,0,0,0,1,0,69,0,3,1,0.0,0.0,0.1,2,0,45,64,70.3,4,30,2,1,0,Fulham
Tim Ream,13.0,us USA,CB,35-099,90,0,0,0,0,0,0,0,0,65,0,3,2,0.0,0.0,0.0,1,0,47,54,87.0,3,33,1,0,0,Fulham
Tosin Adarabioyo,4.0,eng ENG,CB,25-110,90,0,0,0,0,0,0,1,0,74,1,0,3,0.0,0.0,0.0,0,0,53,61,86.9,3,33,1,0,0,Fulham
Kenny Tete,2.0,nl NED,RB,27-095,90,0,0,0,0,0,0,0,0,81,2,2,2,0.0,0.0,0.1,2,1,52,68,76.5,6,35,2,2,1,Fulham
Bernd Leno,17.0,de GER,GK,30-314,90,0,0,0,0,0,0,1,0,39,0,0,0,0.0,0.0,0.0,0,0,26,35,74.3,0,11,0,0,0,Fulham
16 Players,,,,,990,2,1,0,0,8,3,4,0,623,11,10,18,1.0,1.0,0.9,12,3,394,510,77.3,41,284,14,12,3,Fulham
