Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Raúl Jiménez,7.0,mx MEX,FW,33-202,70,0,0,0,0,2,0,0,0,24,2,0,0,0.7,0.7,0.0,4,1,11,18,61.1,1,11,1,1,1,Fulham
Rodrigo Muniz,9.0,br BRA,FW,23-203,20,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.1,2,0,4,4,100.0,0,3,0,1,0,Fulham
Reiss Nelson,19.0,eng ENG,LW,24-349,70,0,0,0,0,0,0,0,0,51,2,3,1,0.0,0.0,0.0,2,0,31,36,86.1,9,38,3,2,0,Fulham
Adama Traoré,11.0,es ESP,RW,28-303,20,0,0,0,0,1,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,6,10,60.0,2,11,2,1,0,Fulham
Alex Iwobi,17.0,ng NGA,"RW,LW",28-204,90,1,0,0,0,3,2,0,0,50,1,0,1,0.2,0.2,0.0,2,0,31,40,77.5,2,37,3,2,0,Fulham
Emile Smith Rowe,32.0,eng ENG,AM,24-118,58,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,25,27,92.6,6,18,0,1,1,Fulham
Harry Wilson,8.0,wls WAL,AM,27-246,32,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,12,16,75.0,1,11,0,0,0,Fulham
Saša Lukić,20.0,rs SRB,DM,28-102,90,0,0,0,0,0,0,0,0,66,7,2,0,0.0,0.0,0.0,2,0,53,57,93.0,4,38,4,0,0,Fulham
Andreas Pereira,18.0,br BRA,DM,28-327,58,0,0,0,0,1,0,1,0,51,1,1,0,0.0,0.0,0.1,2,0,29,47,61.7,2,18,2,1,1,Fulham
Tom Cairney,10.0,sct SCO,DM,33-308,32,0,0,0,0,0,0,0,0,41,0,0,2,0.0,0.0,0.0,2,0,34,39,87.2,8,25,0,0,0,Fulham
Antonee Robinson,33.0,us USA,LB,27-107,90,0,0,0,0,1,1,0,0,84,4,2,2,0.0,0.0,0.6,1,0,54,73,74.0,6,48,1,2,2,Fulham
Calvin Bassey,3.0,ng NGA,CB,24-328,90,0,0,0,0,0,0,1,0,90,0,1,3,0.0,0.0,0.0,1,0,75,83,90.4,8,58,0,0,0,Fulham
Joachim Andersen,5.0,dk DEN,CB,28-176,90,0,0,0,0,0,0,0,0,63,2,0,2,0.0,0.0,0.0,0,0,50,58,86.2,8,28,0,0,0,Fulham
Kenny Tete,2.0,nl NED,RB,29-045,70,0,1,0,0,1,0,1,0,61,3,2,2,0.0,0.0,0.1,1,1,36,45,80.0,4,22,0,3,2,Fulham
Timothy Castagne,21.0,be BEL,RB,28-354,20,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,2,9,0,1,1,Fulham
Bernd Leno,1.0,de GER,GK,32-264,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,31,31,100.0,0,24,0,0,0,Fulham
16 Players,,,,,990,1,1,0,0,10,3,3,0,706,23,11,15,1.0,1.0,1.0,19,2,499,603,82.8,63,399,16,15,8,Fulham
