Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Liam Delap,19.0,eng ENG,FW,21-343,83,0,0,0,0,1,1,1,0,12,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,6,0,3,1,Ipswich Town
George Hirst,27.0,sct SCO,FW,25-336,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,1,1,0,0,0,Ipswich Town
Nathan Broadhead,33.0,wls WAL,"LW,AM",26-286,90,0,0,0,0,1,1,0,0,25,0,1,0,0.0,0.0,0.0,1,0,14,17,82.4,2,12,2,3,1,Ipswich Town
Wes Burns,7.0,wls WAL,RW,30-054,70,0,0,0,0,1,0,0,0,23,3,0,0,0.1,0.1,0.1,2,0,9,17,52.9,0,9,4,2,2,Ipswich Town
Jack Taylor,14.0,ie IRL,"RW,DM",26-207,20,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,17,19,89.5,1,11,0,1,0,Ipswich Town
Omari Hutchinson,20.0,eng ENG,"AM,RW",21-078,90,0,0,0,0,2,1,0,0,39,0,1,0,0.1,0.1,0.0,1,0,22,28,78.6,1,21,1,3,0,Ipswich Town
Jens Cajuste,12.0,se SWE,DM,25-159,70,0,0,0,0,0,0,0,0,29,2,1,0,0.0,0.0,0.0,2,0,21,24,87.5,1,10,0,1,0,Ipswich Town
Sam Morsy,5.0,eg EGY,DM,33-128,20,0,0,0,0,0,0,0,0,26,0,0,2,0.0,0.0,0.0,0,0,20,24,83.3,1,12,0,0,0,Ipswich Town
Kalvin Phillips,8.0,eng ENG,DM,29-045,83,0,0,0,0,0,0,0,0,37,4,2,1,0.0,0.0,0.0,0,0,17,23,73.9,1,12,0,0,0,Ipswich Town
Jack Clarke,47.0,eng ENG,LW,24-054,7,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,4,0,1,0,Ipswich Town
Leif Davis,3.0,eng ENG,LB,25-004,90,0,0,0,0,0,0,0,0,53,2,0,0,0.0,0.0,0.0,1,0,41,47,87.2,0,21,1,1,1,Ipswich Town
Jacob Greaves,24.0,eng ENG,CB,24-126,90,0,0,0,0,0,0,0,0,79,0,2,5,0.0,0.0,0.0,1,0,64,70,91.4,5,32,0,0,0,Ipswich Town
Luke Woolfenden,6.0,eng ENG,CB,26-087,90,0,0,0,0,0,0,1,0,63,1,3,1,0.0,0.0,0.0,0,0,51,54,94.4,1,27,0,0,0,Ipswich Town
Dara O'Shea,26.0,ie IRL,RB,25-318,90,0,0,0,0,0,0,0,0,65,0,0,4,0.0,0.0,0.0,1,0,35,51,68.6,1,12,0,0,0,Ipswich Town
Christian Walton,28.0,eng ENG,GK,29-068,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,33,47,70.2,0,15,0,0,0,Ipswich Town
15 Players,,,,,990,0,0,0,0,5,3,2,0,537,13,10,13,0.3,0.3,0.1,10,0,357,437,81.7,16,205,8,15,5,Ipswich Town
