Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Cody Gakpo,18.0,nl NED,FW,23-282,79,1,0,0,0,2,1,0,0,24,2,0,0,0.8,0.8,0.2,4,0,11,15,73.3,2,16,1,2,1,Liverpool
Roberto Firmino,9.0,br BRA,FW,31-134,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,1,3,0,0,0,Liverpool
Darwin Núñez,27.0,uy URU,LW,23-234,69,0,1,0,0,5,1,0,0,32,0,0,0,0.4,0.4,0.8,6,1,14,19,73.7,1,21,2,5,3,Liverpool
Diogo Jota,20.0,pt POR,LW,26-071,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,0,1,0,Liverpool
Mohamed Salah,11.0,eg EGY,RW,30-243,89,1,0,0,0,6,3,0,0,54,1,0,0,1.1,1.1,0.0,5,2,31,36,86.1,3,39,7,7,3,Liverpool
Harvey Elliott,19.0,eng ENG,RW,19-315,1,0,0,0,0,0,0,0,0,6,1,1,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,1,0,Liverpool
Stefan Bajcetic,43.0,es ESP,LM,18-114,89,0,0,0,0,1,1,0,0,47,2,2,2,0.0,0.0,0.1,3,0,27,35,77.1,6,22,2,3,1,Liverpool
Naby Keïta,8.0,gn GUI,LM,28-003,1,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,Liverpool
Fabinho,3.0,br BRA,CM,29-113,90,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.2,1,0,51,57,89.5,3,39,0,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,RM,32-241,79,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.0,0,0,49,61,80.3,8,34,1,0,0,Liverpool
James Milner,7.0,eng ENG,RM,37-040,11,0,0,0,0,0,0,0,0,9,3,0,0,0.0,0.0,0.0,1,0,3,6,50.0,1,3,1,0,0,Liverpool
Andrew Robertson,26.0,sct SCO,LB,28-339,90,0,0,0,0,0,0,1,0,81,0,1,1,0.0,0.0,0.0,3,1,62,77,80.5,7,39,4,3,2,Liverpool
Joe Gomez,2.0,eng ENG,CB,25-266,90,0,0,0,0,1,0,0,0,112,2,1,1,0.0,0.0,0.0,1,0,91,100,91.0,7,77,2,0,0,Liverpool
Joël Matip,32.0,cm CMR,CB,31-189,90,0,0,0,0,0,0,0,0,93,1,1,0,0.0,0.0,0.0,0,0,75,82,91.5,7,69,3,0,0,Liverpool
Trent Alexander-Arnold,66.0,eng ENG,RB,24-129,90,0,0,0,0,0,0,0,0,107,5,1,1,0.0,0.0,0.1,2,0,75,101,74.3,5,64,2,1,1,Liverpool
Alisson,1.0,br BRA,GK,30-134,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,32,33,97.0,0,22,0,0,0,Liverpool
16 Players,,,,,990,2,1,0,0,15,6,1,0,745,21,7,6,2.3,2.3,1.5,27,4,534,639,83.6,53,458,25,23,11,Liverpool
