Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Carlton Morris,9.0,eng ENG,FW,27-317,75,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,5,11,45.5,1,10,1,0,0,Luton Town
Elijah Adebayo,11.0,eng ENG,FW,25-295,15,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,0,1,0.0,0,2,1,0,0,Luton Town
Chiedozie Ogbene,7.0,ie IRL,"AM,WB",26-181,90,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,1,0,15,20,75.0,2,21,5,6,2,Luton Town
Jacob Brown,19.0,sct SCO,AM,25-202,57,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,6,6,100.0,1,7,1,1,0,Luton Town
Tahith Chong,14.0,cw CUW,AM,23-329,33,0,0,0,0,1,0,0,0,12,2,0,0,0.0,0.0,0.0,1,0,6,8,75.0,2,7,0,1,0,Luton Town
Ross Barkley,6.0,eng ENG,CM,29-328,90,0,0,0,0,4,1,0,0,47,2,1,1,0.2,0.2,0.1,2,0,29,38,76.3,4,27,1,3,2,Luton Town
Marvelous Nakamba,13.0,zw ZIM,CM,29-283,75,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,23,27,85.2,0,17,0,0,0,Luton Town
Pelly Ruddock Mpanzu,17.0,cd COD,CM,30-104,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,4,0,0,0,Luton Town
Alfie Doughty,45.0,eng ENG,WB,23-312,78,0,0,0,0,0,0,1,0,29,2,0,0,0.0,0.0,0.1,2,0,14,25,56.0,1,15,2,2,1,Luton Town
Ryan Giles,26.0,eng ENG,WB,23-276,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,7,28.6,0,2,0,0,0,Luton Town
Issa Kaboré,12.0,bf BFA,"WB,CB",22-170,90,0,0,0,0,0,0,1,0,39,1,3,2,0.0,0.0,0.0,0,0,22,30,73.3,2,23,2,2,0,Luton Town
Gabriel Osho,2.0,ng NGA,CB,25-076,56,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,10,12,83.3,1,10,0,0,0,Luton Town
Andros Townsend,30.0,eng ENG,AM,32-105,34,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,5,0,16,18,88.9,1,8,2,0,0,Luton Town
Tom Lockyer,4.0,wls WAL,CB,28-330,90,0,0,0,0,0,0,0,0,38,2,0,2,0.0,0.0,0.0,1,0,26,31,83.9,1,18,0,0,0,Luton Town
Teden Mengi,15.0,eng ENG,CB,21-182,90,0,0,0,0,1,0,0,0,28,3,3,4,0.1,0.1,0.0,0,0,13,14,92.9,1,12,0,0,0,Luton Town
Thomas Kaminski,24.0,be BEL,GK,31-006,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,16,29,55.2,0,14,0,0,0,Luton Town
16 Players,,,,,990,0,0,0,0,7,1,2,0,358,17,7,11,0.5,0.5,0.3,12,0,207,282,73.4,18,197,15,15,5,Luton Town
