Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,22-279,90,1,2,0,0,6,5,0,0,32,0,0,1,1.6,1.6,0.4,9,3,17,23,73.9,7,16,5,2,2,Manchester City
Jack Grealish,10.0,eng ENG,"LW,LM",27-228,86,0,0,0,0,0,0,1,0,33,1,1,0,0.0,0.0,0.3,4,0,22,27,81.5,5,26,4,3,2,Manchester City
Phil Foden,47.0,eng ENG,LM,22-333,4,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.3,0,0,2,4,50.0,1,3,1,0,0,Manchester City
Bernardo Silva,20.0,pt POR,"RW,CM,LM",28-259,90,0,0,0,0,2,1,0,0,37,1,1,0,0.1,0.1,0.1,1,0,22,30,73.3,4,19,2,0,0,Manchester City
İlkay Gündoğan,8.0,de GER,LM,32-184,71,0,0,0,0,1,0,0,0,52,0,2,1,0.0,0.0,0.2,2,0,43,45,95.6,2,28,3,1,1,Manchester City
Riyad Mahrez,26.0,dz ALG,"RM,RW",32-064,19,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,9,10,90.0,0,7,0,1,0,Manchester City
Rodri,16.0,es ESP,CM,26-308,90,0,0,0,0,0,0,1,0,70,2,0,1,0.0,0.0,0.0,0,0,54,61,88.5,3,30,0,1,0,Manchester City
Kevin De Bruyne,17.0,be BEL,RM,31-302,79,2,1,0,0,4,2,0,0,42,0,0,2,0.6,0.6,0.6,5,2,24,34,70.6,4,23,5,2,1,Manchester City
Julián Álvarez,19.0,ar ARG,FW,23-085,11,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,Manchester City
Manuel Akanji,25.0,ch SUI,LB,27-281,90,0,0,0,0,0,0,0,0,61,3,0,0,0.0,0.0,0.0,0,0,50,55,90.9,2,23,1,1,1,Manchester City
Rúben Dias,3.0,pt POR,CB,25-347,90,0,0,0,0,0,0,1,0,84,0,1,1,0.0,0.0,0.5,1,0,65,80,81.3,1,59,0,1,0,Manchester City
John Stones,5.0,eng ENG,CB,28-333,90,1,0,0,0,1,1,0,0,60,2,0,0,0.2,0.2,0.0,2,2,50,57,87.7,3,39,1,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,32-333,90,0,0,0,0,0,0,0,0,48,1,4,0,0.0,0.0,0.0,0,0,34,37,91.9,2,20,2,2,0,Manchester City
Ederson,31.0,br BRA,GK,29-252,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,41,49,83.7,0,33,0,0,0,Manchester City
14 Players,,,,,990,4,4,0,0,14,9,3,0,590,11,9,7,2.5,2.5,2.5,24,7,436,516,84.5,34,329,24,14,7,Manchester City
