Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,22-031,90,1,0,0,0,4,3,0,0,27,0,0,0,0.7,0.7,0.2,4,0,13,18,72.2,2,17,1,4,3,Manchester City
Phil Foden,47.0,eng ENG,LW,22-085,90,0,0,0,0,2,1,0,0,68,1,0,1,0.1,0.1,0.1,4,0,47,60,78.3,4,47,5,2,0,Manchester City
Bernardo Silva,20.0,pt POR,RW,28-011,90,1,1,0,0,2,1,0,0,50,2,0,0,0.3,0.3,0.2,6,2,33,38,86.8,5,24,4,3,1,Manchester City
İlkay Gündoğan,8.0,de GER,LM,31-301,90,1,0,0,0,3,1,0,0,64,1,3,1,0.3,0.3,0.2,6,1,40,49,81.6,8,32,4,2,1,Manchester City
Rodri,16.0,es ESP,CM,26-060,90,0,1,0,0,4,1,0,0,139,1,0,1,0.1,0.1,0.1,5,2,108,120,90.0,7,64,0,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,RM,31-054,90,0,1,0,0,3,2,0,0,55,3,0,0,0.3,0.3,0.8,7,1,28,44,63.6,7,25,4,3,1,Manchester City
João Cancelo,7.0,pt POR,LB,28-086,90,0,0,0,0,1,0,1,0,103,0,1,2,0.0,0.0,0.0,4,0,80,95,84.2,13,52,5,4,3,Manchester City
Nathan Aké,6.0,nl NED,CB,27-184,20,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,18,20,90.0,0,9,0,0,0,Manchester City
Rúben Dias,3.0,pt POR,CB,25-099,70,0,0,0,0,2,1,0,0,69,0,1,1,0.3,0.3,0.1,2,0,57,62,91.9,4,40,1,1,1,Manchester City
John Stones,5.0,eng ENG,CB,28-085,90,0,0,0,0,0,0,1,0,55,0,0,0,0.0,0.0,0.0,0,0,50,53,94.3,2,30,0,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,32-085,90,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,1,0,46,62,74.2,8,26,2,4,3,Manchester City
Ederson,31.0,br BRA,GK,29-004,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,34,39,87.2,0,28,0,0,0,Manchester City
12 Players,,,,,990,3,3,0,0,21,10,2,0,756,9,5,6,2.1,2.1,1.8,40,6,554,660,83.9,60,394,26,23,13,Manchester City
