Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,24-188,90,1,1,0,0,3,2,0,0,26,0,1,1,0.3,0.3,0.5,4,1,9,16,56.3,0,7,0,0,0,Manchester City
Omar Marmoush,7.0,eg EGY,LW,25-353,73,0,0,0,0,2,0,0,0,26,3,0,2,0.1,0.1,0.2,4,0,11,13,84.6,1,17,2,2,0,Manchester City
Kevin De Bruyne,17.0,be BEL,LW,33-211,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,1,8,8,100.0,1,7,1,0,0,Manchester City
Phil Foden,47.0,eng ENG,RW,24-242,90,1,0,0,0,3,1,0,0,38,1,0,2,0.5,0.5,0.0,1,0,23,27,85.2,5,23,1,3,2,Manchester City
İlkay Gündoğan,19.0,de GER,LM,34-093,90,0,0,0,0,1,1,0,0,86,1,0,1,0.0,0.0,0.4,2,0,71,82,86.6,6,57,3,1,1,Manchester City
Mateo Kovačić,8.0,hr CRO,CM,30-264,90,0,0,0,0,1,0,1,0,65,4,0,0,0.0,0.0,0.3,4,0,49,55,89.1,6,47,1,1,0,Manchester City
Bernardo Silva,20.0,pt POR,RM,30-168,90,0,0,0,0,0,0,1,0,69,2,1,0,0.0,0.0,0.0,2,0,59,64,92.2,2,49,1,1,1,Manchester City
Joško Gvardiol,24.0,hr CRO,LB,23-002,90,1,0,0,0,3,1,0,0,65,0,1,1,1.1,1.1,0.0,2,0,43,56,76.8,2,32,2,5,5,Manchester City
Manuel Akanji,25.0,ch SUI,CB,29-190,90,0,0,0,0,0,0,0,0,95,0,0,0,0.0,0.0,0.0,2,0,84,91,92.3,3,75,3,0,0,Manchester City
Abdukodir Khusanov,45.0,uz UZB,CB,20-331,53,0,0,0,0,1,0,1,0,52,0,0,1,0.0,0.0,0.0,1,0,41,48,85.4,2,41,0,1,0,Manchester City
John Stones,5.0,eng ENG,CB,30-242,37,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,1,22,25,88.0,2,22,0,0,0,Manchester City
Matheus Nunes,27.0,pt POR,RB,26-151,90,0,1,0,0,1,1,0,0,80,2,3,2,0.4,0.4,0.7,2,1,48,63,76.2,3,38,3,2,0,Manchester City
Ederson,31.0,br BRA,GK,31-161,90,0,1,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.1,1,1,46,55,83.6,0,46,0,0,0,Manchester City
13 Players,,,,,990,3,3,0,0,15,6,3,0,695,13,6,10,2.5,2.5,2.2,27,5,514,603,85.2,33,461,17,16,9,Manchester City
