Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,24-308,84,1,0,1,1,3,0,0,0,16,0,0,0,1.0,0.2,0.1,3,0,7,9,77.8,1,10,1,0,0,Manchester City
Claudio Echeverri,30.0,ar ARG,FW,19-143,6,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,3,0,0,0,Manchester City
Jeremy Doku,11.0,be BEL,LW,22-363,73,0,0,0,0,5,0,0,0,43,1,0,1,0.3,0.3,0.1,5,1,19,26,73.1,2,34,11,7,0,Manchester City
Sávio,26.0,br BRA,LW,21-045,17,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,5,2,0,0,Manchester City
Omar Marmoush,7.0,eg EGY,RW,26-107,81,0,0,0,0,6,0,0,0,37,2,1,0,0.4,0.4,0.3,3,0,21,27,77.8,3,27,4,3,2,Manchester City
Phil Foden,47.0,eng ENG,RW,24-362,9,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,7,0,0,0,Manchester City
İlkay Gündoğan,19.0,de GER,AM,34-213,84,1,0,0,0,1,1,0,0,42,1,0,0,0.5,0.5,0.4,10,1,30,35,85.7,6,21,2,3,1,Manchester City
Kevin De Bruyne,17.0,be BEL,AM,33-331,6,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,1,8,0,0,0,Manchester City
Nicolás González,14.0,es ESP,DM,23-142,90,0,0,0,0,1,1,0,0,57,1,2,0,0.1,0.1,0.0,0,0,40,49,81.6,2,27,2,0,0,Manchester City
Bernardo Silva,20.0,pt POR,DM,30-288,90,0,0,0,0,0,0,0,0,87,2,2,0,0.0,0.0,0.6,4,0,61,81,75.3,8,55,2,0,0,Manchester City
Joško Gvardiol,24.0,hr CRO,LB,23-122,90,0,0,0,0,1,1,0,0,62,2,3,0,0.2,0.2,0.1,3,0,41,53,77.4,8,31,2,1,1,Manchester City
Manuel Akanji,25.0,ch SUI,CB,29-310,90,0,0,0,0,1,0,0,0,63,1,2,0,0.4,0.4,0.0,0,0,50,55,90.9,3,45,3,0,0,Manchester City
Rúben Dias,3.0,pt POR,CB,28-011,90,0,0,0,0,0,0,0,0,82,0,2,3,0.0,0.0,0.0,1,0,65,70,92.9,13,51,2,0,0,Manchester City
Matheus Nunes,27.0,pt POR,RB,26-271,90,0,0,0,0,1,1,0,0,85,2,1,1,0.3,0.3,0.0,6,1,60,69,87.0,5,46,3,5,3,Manchester City
Ederson,31.0,br BRA,GK,31-281,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,35,39,89.7,0,29,0,0,0,Manchester City
15 Players,,,,,990,2,0,1,1,19,4,0,0,644,14,13,5,3.1,2.3,1.7,35,3,448,539,83.1,54,399,34,19,7,Manchester City
