Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Marcus Rashford,10.0,eng ENG,FW,26-060,90,1,0,0,0,1,1,0,0,24,2,0,1,0.1,0.1,0.0,0,0,11,21,52.4,2,8,1,1,1,Manchester United
Alejandro Garnacho,17.0,ar ARG,LW,19-182,90,0,1,0,0,2,0,1,0,44,1,2,0,0.1,0.1,0.2,3,2,19,29,65.5,1,27,6,7,4,Manchester United
Antony,21.0,br BRA,RW,23-309,53,0,0,0,0,0,0,0,0,36,2,1,1,0.0,0.0,0.0,0,0,19,24,79.2,0,16,0,3,1,Manchester United
Amad Diallo,16.0,ci CIV,RW,21-172,37,0,0,0,0,1,1,0,0,20,1,0,0,0.1,0.1,0.1,3,0,17,18,94.4,1,11,1,1,0,Manchester United
Bruno Fernandes,8.0,pt POR,AM,29-113,90,0,0,0,0,1,0,0,0,69,1,0,1,0.0,0.0,0.2,4,0,38,61,62.3,7,30,1,0,0,Manchester United
Christian Eriksen,14.0,dk DEN,DM,31-319,90,0,0,0,0,2,1,1,0,65,1,0,1,0.2,0.2,0.1,4,0,50,58,86.2,5,26,0,1,1,Manchester United
Kobbie Mainoo,37.0,eng ENG,DM,18-255,45,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,9,11,81.8,0,3,0,3,0,Manchester United
Scott McTominay,39.0,sct SCO,DM,27-022,45,0,0,0,0,1,1,0,0,35,3,1,1,0.1,0.1,0.0,0,0,19,21,90.5,1,13,0,1,0,Manchester United
Diogo Dalot,20.0,pt POR,"LB,RB",24-287,90,0,0,0,0,1,0,1,0,58,1,0,1,0.1,0.1,0.0,1,0,37,49,75.5,2,22,2,2,1,Manchester United
Jonny Evans,35.0,nir NIR,CB,35-361,90,0,0,0,0,0,0,0,0,71,0,2,0,0.0,0.0,0.0,1,0,56,64,87.5,6,35,0,2,2,Manchester United
Raphaël Varane,19.0,fr FRA,CB,30-249,90,0,0,0,0,0,0,1,0,75,1,1,1,0.0,0.0,0.0,0,0,58,68,85.3,11,38,6,1,0,Manchester United
Aaron Wan-Bissaka,29.0,cd COD,RB,26-034,89,0,0,0,0,1,1,0,0,79,1,1,1,0.0,0.0,0.1,1,0,56,71,78.9,4,24,3,2,1,Manchester United
Sergio Reguilón,15.0,es ESP,LB,27-014,1,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.1,2,0,11,11,100.0,4,3,0,0,0,Manchester United
André Onana,24.0,cm CMR,GK,27-272,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,18,0,0,0,Manchester United
14 Players,,,,,990,1,1,0,0,10,5,4,0,642,14,8,10,0.8,0.8,0.8,19,2,430,539,79.8,44,274,20,24,11,Manchester United
