Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Chris Wood,11.0,nz NZL,FW,33-169,90,0,0,0,0,3,0,0,0,16,0,0,0,0.8,0.8,0.0,0,0,9,11,81.8,1,4,0,0,0,Nottingham Forest
Anthony Elanga,21.0,se SWE,"FW,RW,LW",23-028,90,0,0,0,0,2,2,0,0,49,0,0,0,0.1,0.1,0.1,2,0,24,38,63.2,5,28,5,3,0,Nottingham Forest
Morgan Gibbs-White,10.0,eng ENG,AM,25-118,90,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,3,0,27,39,69.2,2,22,1,1,1,Nottingham Forest
Elliot Anderson,8.0,eng ENG,"LM,DM",22-200,90,0,0,0,0,2,0,1,0,64,1,0,3,0.2,0.2,0.0,4,0,47,54,87.0,7,26,4,0,0,Nottingham Forest
Ibrahim Sangaré,6.0,ci CIV,CM,27-174,56,0,0,0,0,0,0,0,0,43,3,0,1,0.0,0.0,0.0,0,0,28,33,84.8,3,13,0,0,0,Nottingham Forest
Callum Hudson-Odoi,14.0,eng ENG,"LW,LB",24-199,34,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,18,77.8,5,10,3,0,0,Nottingham Forest
Nicolás Domínguez,16.0,ar ARG,"RM,DM",26-331,67,0,0,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.0,1,0,27,31,87.1,5,19,2,1,0,Nottingham Forest
Ryan Yates,22.0,eng ENG,DM,27-185,23,0,0,0,0,0,0,0,0,24,0,0,2,0.0,0.0,0.0,0,0,17,20,85.0,4,11,1,0,0,Nottingham Forest
Neco Williams,7.0,wls WAL,"LB,RB",24-042,90,0,0,0,0,0,0,0,0,51,3,2,0,0.0,0.0,0.0,0,0,27,39,69.2,0,17,2,1,0,Nottingham Forest
Murillo,5.0,br BRA,CB,22-325,90,0,0,0,0,1,0,0,0,77,0,1,1,0.0,0.0,0.1,3,0,55,67,82.1,9,38,2,1,0,Nottingham Forest
Nikola Milenković,31.0,rs SRB,CB,27-225,90,0,0,0,0,1,0,0,0,60,3,0,1,0.1,0.1,0.1,2,0,46,49,93.9,1,23,0,0,0,Nottingham Forest
Ola Aina,34.0,ng NGA,RB,28-229,82,0,0,0,0,1,0,1,0,56,1,0,1,0.0,0.0,0.3,1,0,34,47,72.3,3,21,2,3,1,Nottingham Forest
Jota Silva,20.0,pt POR,RW,25-297,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,1,0,1,0,Nottingham Forest
Matz Sels,26.0,be BEL,GK,33-088,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.4,1,0,26,36,72.2,1,23,1,0,0,Nottingham Forest
14 Players,,,,,990,0,0,0,0,10,2,2,0,580,14,3,10,1.2,1.2,0.9,17,0,384,487,78.9,46,256,23,11,2,Nottingham Forest
