Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ben Brereton,11.0,cl CHI,FW,24-347,90,2,1,0,0,2,2,0,0,21,2,0,3,1.0,1.0,0.7,1,1,7,12,58.3,1,16,2,1,0,Sheffield United
Oliver McBurnie,9.0,sct SCO,FW,27-300,89,1,1,0,0,1,1,0,0,38,2,0,0,0.7,0.7,0.6,3,2,13,26,50.0,4,17,2,1,0,Sheffield United
James Mcatee,28.0,eng ENG,FW,21-164,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0,Sheffield United
Gustavo Hamer,8.0,nl NED,CM,26-280,90,0,1,0,0,2,0,1,0,25,0,2,0,0.1,0.1,0.5,3,2,10,20,50.0,1,13,0,1,1,Sheffield United
Oliver Arblaster,24.0,eng ENG,CM,19-330,84,0,0,0,0,0,0,0,0,28,2,0,3,0.0,0.0,0.0,1,0,15,21,71.4,2,13,0,1,1,Sheffield United
Oliver Norwood,16.0,nir NIR,CM,32-353,6,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,1,0,0,0,Sheffield United
Vinicius Souza,21.0,br BRA,CM,24-287,84,0,0,0,0,0,0,0,0,27,2,0,3,0.0,0.0,0.0,0,0,10,16,62.5,3,6,0,0,0,Sheffield United
Auston Trusty,5.0,us USA,CM,25-231,6,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0,Sheffield United
Ben Osborn,23.0,eng ENG,WB,29-238,90,0,0,0,0,0,0,0,0,37,3,2,1,0.0,0.0,0.0,1,1,15,25,60.0,2,11,2,0,0,Sheffield United
Jayden Bogle,20.0,eng ENG,WB,23-247,90,0,0,0,0,2,0,1,0,23,1,1,2,0.1,0.1,0.0,0,0,10,12,83.3,0,8,1,1,1,Sheffield United
Jack Robinson,19.0,eng ENG,CB,30-211,90,0,0,0,0,0,0,0,0,38,1,0,4,0.0,0.0,0.0,1,0,16,28,57.1,0,10,0,0,0,Sheffield United
Anel Ahmedhodžić,15.0,ba BIH,CB,25-004,90,0,0,0,0,1,1,0,0,35,4,0,2,0.0,0.0,0.0,1,0,14,17,82.4,1,9,0,0,0,Sheffield United
Mason Holgate,30.0,jm JAM,CB,27-160,90,0,0,0,0,0,0,1,0,41,2,1,2,0.0,0.0,0.0,1,0,14,23,60.9,1,10,0,0,0,Sheffield United
Ivo Grbić,13.0,hr CRO,GK,28-072,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,15,29,51.7,0,17,0,0,0,Sheffield United
14 Players,,,,,990,3,3,0,0,8,4,4,0,365,19,6,21,1.9,1.9,1.9,12,6,146,240,60.8,15,133,7,5,3,Sheffield United
