Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Paul Onuachu,32.0,ng NGA,FW,30-309,89,1,0,0,0,4,2,0,0,45,1,0,1,0.4,0.4,0.0,0,0,11,21,52.4,1,29,1,3,0,Southampton
Yukinari Sugawara,16.0,jp JPN,"AM,FW",24-278,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,1,2,1,Southampton
Kamaldeen Sulemana,20.0,gh GHA,AM,23-046,80,0,0,0,0,0,0,0,0,31,0,0,2,0.0,0.0,0.0,0,0,17,21,81.0,3,21,3,4,3,Southampton
Tyler Dibling,33.0,eng ENG,AM,19-021,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,Southampton
Mateus Fernandes,18.0,pt POR,"AM,CM",20-266,90,0,1,0,0,2,0,0,0,63,2,1,1,0.2,0.2,0.1,1,1,37,48,77.1,7,37,2,5,4,Southampton
Lesley Ugochukwu,26.0,fr FRA,CM,21-007,70,0,0,0,0,1,0,0,0,20,3,0,1,0.0,0.0,0.2,2,0,8,13,61.5,1,8,0,0,0,Southampton
Joe Aribo,7.0,ng NGA,CM,28-255,20,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0,Southampton
Flynn Downes,4.0,eng ENG,CM,26-072,89,0,0,0,0,0,0,1,0,44,4,3,0,0.0,0.0,0.0,1,1,27,34,79.4,3,23,0,1,0,Southampton
Cameron Archer,19.0,eng ENG,FW,23-255,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Southampton
Ryan Manning,3.0,ie IRL,WB,28-292,80,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.2,2,0,34,41,82.9,2,19,1,1,0,Southampton
Welington,34.0,br BRA,WB,24-042,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,4,1,0,0,Southampton
Kyle Walker-Peters,2.0,eng ENG,WB,27-354,90,0,0,0,0,1,0,0,0,49,1,1,0,0.1,0.1,0.0,4,0,29,36,80.6,6,28,5,4,2,Southampton
Jack Stephens,5.0,eng ENG,CB,31-065,90,0,0,0,0,0,0,0,0,53,1,4,0,0.0,0.0,0.0,0,0,39,47,83.0,2,29,0,0,0,Southampton
Jan Bednarek,35.0,pl POL,CB,28-355,90,0,0,0,0,0,0,1,0,46,1,0,2,0.0,0.0,0.0,0,0,31,33,93.9,2,23,0,0,0,Southampton
Taylor Harwood-Bellis,6.0,eng ENG,CB,23-062,90,0,0,0,0,0,0,0,0,67,1,0,0,0.0,0.0,0.1,1,0,47,57,82.5,2,38,1,0,0,Southampton
Aaron Ramsdale,30.0,eng ENG,GK,26-323,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,32,51,62.7,0,37,0,0,0,Southampton
16 Players,,,,,990,1,1,0,0,8,2,2,0,544,14,9,7,0.7,0.7,0.5,11,2,327,424,77.1,29,307,15,20,10,Southampton
