Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Che Adams,10.0,sct SCO,FW,26-242,75,0,0,0,0,1,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,9,20,45.0,2,14,0,1,1,Southampton
Sekou Mara,18.0,fr FRA,"AM,FW",20-225,15,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,5,1,1,0,Southampton
Kamaldeen Sulemana,20.0,gh GHA,LW,21-025,75,0,0,0,0,1,0,0,0,34,0,0,2,0.1,0.1,0.0,2,0,16,21,76.2,5,24,2,4,0,Southampton
Adam Armstrong,9.0,eng ENG,LW,26-030,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,7,2,1,0,Southampton
Theo Walcott,32.0,eng ENG,RW,33-361,84,0,0,0,0,4,2,0,0,33,0,2,1,0.6,0.6,0.1,4,0,12,21,57.1,0,17,2,2,1,Southampton
Paul Onuachu,12.0,ng NGA,FW,28-288,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Southampton
Carlos Alcaraz,26.0,ar ARG,AM,20-102,54,0,0,0,0,1,0,0,0,22,0,0,1,0.0,0.0,0.1,5,0,10,11,90.9,1,17,2,3,2,Southampton
Stuart Armstrong,17.0,sct SCO,"AM,RW",30-347,36,0,0,0,0,2,1,0,0,31,3,0,1,0.1,0.1,0.0,1,0,16,22,72.7,1,18,0,0,0,Southampton
Roméo Lavia,45.0,be BEL,DM,19-065,90,0,0,0,0,2,0,0,0,64,1,0,0,0.1,0.1,0.0,3,0,46,51,90.2,5,49,2,3,1,Southampton
James Ward-Prowse,8.0,eng ENG,DM,28-131,90,0,0,0,0,2,0,0,0,96,2,4,1,0.1,0.1,0.2,8,0,74,87,85.1,12,53,2,0,0,Southampton
Romain Perraud,15.0,fr FRA,LB,25-171,90,0,0,0,0,1,0,0,0,69,1,1,1,0.0,0.0,0.2,2,0,48,62,77.4,9,38,1,0,0,Southampton
Armel Bella Kotchap,37.0,de GER,CB,21-091,90,0,0,0,0,0,0,0,0,68,1,3,2,0.0,0.0,0.3,2,0,52,59,88.1,2,48,2,0,0,Southampton
Jan Bednarek,35.0,pl POL,CB,26-334,90,0,0,0,0,1,0,0,0,68,2,2,0,0.0,0.0,0.0,1,0,49,58,84.5,3,38,0,0,0,Southampton
Kyle Walker-Peters,2.0,eng ENG,RB,25-333,90,0,0,0,0,2,1,0,0,66,4,3,3,0.1,0.1,0.0,1,0,39,45,86.7,1,41,4,4,3,Southampton
Gavin Bazunu,31.0,ie IRL,GK,21-020,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,0,15,0,0,0,Southampton
15 Players,,,,,990,0,0,0,0,17,4,0,0,619,15,15,13,1.1,1.1,0.9,29,0,396,491,80.7,41,384,20,19,8,Southampton
