Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,29-017,90,1,0,0,0,3,1,0,0,30,1,0,2,0.5,0.5,0.3,5,0,15,18,83.3,3,19,2,0,0,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,"AM,LM",30-037,78,0,0,0,0,2,1,0,0,27,1,1,0,0.2,0.2,0.0,1,0,9,15,60.0,2,12,2,2,0,Tottenham Hotspur
Ivan Perišić,14.0,hr CRO,LM,33-193,12,0,1,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.3,3,1,5,11,45.5,1,4,0,2,0,Tottenham Hotspur
Dejan Kulusevski,21.0,se SWE,"AM,RM",22-111,90,0,0,0,0,0,0,0,0,18,1,0,2,0.0,0.0,0.0,0,0,7,12,58.3,2,13,3,4,2,Tottenham Hotspur
Rodrigo Bentancur,30.0,uy URU,CM,25-050,78,0,0,0,0,0,0,0,0,48,3,1,3,0.0,0.0,0.0,1,0,27,37,73.0,2,22,2,3,1,Tottenham Hotspur
Yves Bissouma,38.0,ml MLI,CM,25-349,12,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,4,0,0,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,CM,27-009,90,1,0,0,0,1,1,0,0,52,4,0,3,0.0,0.0,0.2,2,0,34,39,87.2,1,23,0,0,0,Tottenham Hotspur
Ryan Sessegnon,19.0,eng ENG,WB,22-088,56,0,0,0,0,1,1,0,0,29,0,1,1,0.1,0.1,0.0,0,0,11,16,68.8,0,9,0,2,0,Tottenham Hotspur
Richarlison,9.0,br BRA,FW,25-096,34,0,0,0,0,0,0,0,0,14,0,0,2,0.0,0.0,0.0,0,0,4,7,57.1,0,7,0,1,0,Tottenham Hotspur
Emerson,12.0,br BRA,"WB,RB",23-212,81,0,0,0,0,0,0,0,0,46,3,3,1,0.0,0.0,0.0,1,0,22,33,66.7,3,24,3,0,0,Tottenham Hotspur
Lucas Moura,27.0,br BRA,RB,30-001,9,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,2,1,Tottenham Hotspur
Ben Davies,33.0,wls WAL,"CB,LB",29-112,90,0,1,0,0,1,1,0,0,52,4,1,0,0.1,0.1,0.0,2,2,24,34,70.6,2,22,1,1,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,28-211,90,0,0,0,0,1,0,0,0,81,1,5,2,0.0,0.0,0.0,1,0,56,70,80.0,3,46,0,0,0,Tottenham Hotspur
Cristian Romero,17.0,ar ARG,CB,24-109,90,0,0,0,0,0,0,0,0,63,7,1,1,0.0,0.0,0.0,0,0,37,43,86.0,3,32,1,4,3,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,35-231,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,29,30,96.7,0,16,0,0,0,Tottenham Hotspur
15 Players,,,,,990,2,2,0,0,10,5,0,0,520,25,15,17,1.0,1.0,0.9,18,3,289,375,77.1,22,257,14,21,7,Tottenham Hotspur
