Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Richarlison,9.0,br BRA,FW,26-232,64,0,0,0,0,2,0,1,0,26,0,0,1,0.3,0.3,0.2,2,0,10,15,66.7,2,11,0,0,0,Tottenham Hotspur
Giovani Lo Celso,18.0,ar ARG,DM,27-263,26,0,0,0,0,0,0,0,0,34,1,1,0,0.0,0.0,0.2,2,0,27,32,84.4,8,21,1,1,1,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,"LW,FW",31-173,90,0,1,0,0,5,0,0,0,46,0,2,0,0.4,0.4,0.3,3,0,26,34,76.5,9,29,2,2,1,Tottenham Hotspur
Brennan Johnson,22.0,wls WAL,RW,22-219,69,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.1,2,0,11,20,55.0,1,19,5,2,1,Tottenham Hotspur
Alejo Véliz,36.0,ar ARG,RW,20-100,21,1,0,0,0,2,1,0,0,6,0,0,0,0.2,0.2,0.0,1,0,1,3,33.3,0,2,0,1,1,Tottenham Hotspur
Dejan Kulusevski,21.0,se SWE,AM,23-247,90,0,0,0,0,1,0,1,0,59,0,0,2,0.0,0.0,0.0,3,0,34,46,73.9,7,43,4,2,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,DM,28-145,90,0,0,0,0,2,0,0,0,85,3,2,2,0.1,0.1,0.0,4,0,62,71,87.3,9,48,0,4,3,Tottenham Hotspur
Pape Matar Sarr,29.0,sn SEN,DM,21-105,64,0,0,0,0,0,0,0,0,36,1,1,0,0.0,0.0,0.0,0,0,29,32,90.6,6,22,2,2,2,Tottenham Hotspur
Bryan Gil,11.0,es ESP,LW,22-320,26,0,0,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.1,3,1,19,25,76.0,3,21,4,1,1,Tottenham Hotspur
Destiny Udogie,38.0,it ITA,LB,21-030,90,0,0,0,0,1,1,0,0,70,0,1,0,0.3,0.3,0.2,8,0,52,58,89.7,9,42,7,5,3,Tottenham Hotspur
Ben Davies,33.0,wls WAL,CB,30-248,90,1,0,0,0,2,1,0,0,75,3,1,0,0.7,0.7,0.0,0,0,59,65,90.8,5,45,0,0,0,Tottenham Hotspur
Emerson,12.0,br BRA,CB,24-348,90,0,0,0,0,0,0,0,0,81,6,1,0,0.0,0.0,0.0,3,0,65,71,91.5,4,51,0,0,0,Tottenham Hotspur
Pedro Porro,23.0,es ESP,RB,24-106,90,0,1,0,0,2,0,0,0,89,2,2,3,0.1,0.1,0.9,4,1,59,78,75.6,6,29,0,0,0,Tottenham Hotspur
Guglielmo Vicario,13.0,it ITA,GK,27-082,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,37,47,78.7,0,31,0,0,0,Tottenham Hotspur
14 Players,,,,,990,2,2,0,0,19,3,2,0,714,16,11,8,2.4,2.4,2.0,35,2,491,597,82.2,69,414,25,20,13,Tottenham Hotspur
