Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,33-011,89,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,9,16,56.3,1,21,2,4,1,West Ham United
Maxwel Cornet,14.0,ci CIV,FW,26-193,1,0,0,0,0,1,1,0,0,3,1,0,0,0.5,0.5,0.1,2,0,1,1,100.0,0,2,1,0,0,West Ham United
Danny Ings,18.0,eng ENG,FW,30-259,60,0,0,0,0,1,1,0,0,14,0,1,0,0.1,0.1,0.0,0,0,5,7,71.4,1,5,1,0,0,West Ham United
Flynn Downes,12.0,eng ENG,FW,24-078,30,0,0,0,0,0,0,0,0,14,2,0,1,0.0,0.0,0.0,2,0,8,9,88.9,1,5,0,0,0,West Ham United
Pablo Fornals,8.0,es ESP,LM,27-045,60,0,0,0,0,0,0,0,0,33,4,0,2,0.0,0.0,0.0,1,0,14,26,53.8,1,15,1,1,0,West Ham United
Saïd Benrahma,22.0,dz ALG,LM,27-241,30,0,0,0,0,2,0,0,0,14,1,0,0,0.1,0.1,0.2,1,0,7,8,87.5,1,7,2,0,0,West Ham United
Declan Rice,41.0,eng ENG,CM,24-084,90,0,0,0,0,1,1,1,0,44,1,3,2,0.0,0.0,0.0,1,0,16,26,61.5,1,16,2,2,0,West Ham United
Tomáš Souček,28.0,cz CZE,CM,28-040,90,0,0,0,0,0,0,0,0,36,2,1,1,0.0,0.0,0.1,2,0,12,21,57.1,3,9,1,0,0,West Ham United
Jarrod Bowen,20.0,eng ENG,RM,26-109,90,0,0,0,0,1,1,0,0,30,0,1,1,0.2,0.2,0.1,2,0,9,18,50.0,2,16,2,6,1,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,33-114,90,0,0,0,0,0,0,0,0,46,1,2,1,0.0,0.0,0.1,3,0,29,39,74.4,3,19,1,0,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,34-320,90,0,0,0,0,1,0,0,0,29,1,3,2,0.1,0.1,0.0,0,0,7,10,70.0,0,11,0,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,28-163,90,0,0,0,0,2,1,0,0,27,0,1,2,0.1,0.1,0.0,0,0,4,7,57.1,1,5,0,0,0,West Ham United
Vladimír Coufal,5.0,cz CZE,RB,30-229,90,0,0,0,0,0,0,0,0,53,2,4,1,0.0,0.0,0.0,0,0,16,31,51.6,0,21,1,3,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,37-355,90,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,8,16,50.0,0,9,0,0,0,West Ham United
14 Players,,,,,990,0,0,0,0,9,5,1,0,392,17,16,13,1.1,1.1,0.6,14,0,145,235,61.7,15,161,14,16,2,West Ham United
