Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jarrod Bowen,20.0,eng ENG,FW,27-053,90,0,0,0,0,2,0,0,0,19,3,0,0,0.1,0.1,0.1,1,0,10,13,76.9,1,9,1,0,0,West Ham United
Ben Johnson,2.0,eng ENG,"LW,RM",24-018,90,0,0,0,0,1,0,0,0,32,1,0,1,0.0,0.0,0.0,0,0,15,22,68.2,1,22,1,1,0,West Ham United
Mohammed Kudus,14.0,gh GHA,"RW,FW",23-193,90,0,0,0,0,2,1,1,0,34,2,0,0,0.1,0.1,0.0,4,0,15,19,78.9,5,19,4,5,3,West Ham United
James Ward-Prowse,7.0,eng ENG,"AM,LM,CM",29-102,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,26,29,89.7,1,13,0,0,0,West Ham United
Edson Álvarez,19.0,mx MEX,DM,26-110,45,0,0,0,0,0,0,1,0,21,3,0,0,0.0,0.0,0.0,0,0,11,16,68.8,1,12,1,1,1,West Ham United
Kalvin Phillips,11.0,eng ENG,CM,28-071,45,0,0,0,0,0,0,1,0,17,1,1,0,0.0,0.0,0.0,0,0,9,14,64.3,1,9,0,0,0,West Ham United
Tomáš Souček,28.0,cz CZE,"CM,DM",28-349,90,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.0,0,0,14,23,60.9,2,10,0,0,0,West Ham United
Emerson Palmieri,33.0,it ITA,LB,29-192,75,0,0,0,0,0,0,0,0,38,4,1,0,0.0,0.0,0.0,0,0,25,32,78.1,1,14,0,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,34-058,15,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,West Ham United
Nayef Aguerd,27.0,ma MAR,CB,27-318,90,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.0,0,0,31,48,64.6,0,36,0,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,29-107,45,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,11,16,68.8,0,10,0,0,0,West Ham United
Konstantinos Mavropanos,15.0,gr GRE,CB,26-062,45,0,0,0,0,0,0,0,0,23,3,1,0,0.0,0.0,0.0,0,0,15,17,88.2,2,16,1,2,0,West Ham United
Vladimír Coufal,5.0,cz CZE,RB,31-173,90,0,0,0,0,0,0,0,0,50,2,2,0,0.0,0.0,0.0,1,0,29,39,74.4,4,21,1,1,0,West Ham United
Alphonse Areola,23.0,fr FRA,GK,30-349,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,17,31,54.8,0,14,0,0,0,West Ham United
14 Players,,,,,990,0,0,0,0,5,1,4,0,408,21,5,3,0.2,0.2,0.1,6,0,229,321,71.3,19,205,9,10,4,West Ham United
