Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Niclas Füllkrug,11.0,de GER,FW,32-105,71,0,0,0,0,1,1,0,0,36,0,0,0,0.2,0.2,0.0,2,0,20,26,76.9,1,21,1,2,0,West Ham United
Mohammed Kudus,14.0,gh GHA,FW,24-296,19,1,0,0,0,1,1,0,0,13,1,0,0,0.1,0.1,0.0,1,1,9,9,100.0,1,9,1,2,1,West Ham United
Jarrod Bowen,20.0,eng ENG,FW,28-156,90,1,1,0,0,4,2,0,0,66,2,0,1,0.1,0.1,0.5,7,2,45,52,86.5,3,37,4,3,2,West Ham United
Oliver Scarles,57.0,eng ENG,LW,19-164,71,0,0,0,0,0,0,0,0,46,4,1,0,0.0,0.0,0.1,1,0,33,39,84.6,1,29,1,1,1,West Ham United
Vladimír Coufal,5.0,cz CZE,"WB,RW,CB",32-276,19,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,16,17,94.1,1,7,1,1,1,West Ham United
Aaron Wan-Bissaka,29.0,cd COD,"RW,WB,LW",27-180,90,0,1,0,0,0,0,0,0,92,2,2,1,0.0,0.0,0.0,3,1,76,85,89.4,3,67,0,3,3,West Ham United
Tomáš Souček,28.0,cz CZE,CM,30-087,90,0,0,0,0,1,1,0,0,41,1,1,3,0.1,0.1,0.0,0,0,25,30,83.3,3,23,1,0,0,West Ham United
James Ward-Prowse,8.0,eng ENG,CM,30-205,79,1,0,0,0,2,1,0,0,57,1,1,0,0.6,0.6,0.2,3,0,46,49,93.9,5,35,1,0,0,West Ham United
Guido Rodríguez,24.0,ar ARG,CM,31-043,11,0,1,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.1,1,1,10,11,90.9,1,6,1,0,0,West Ham United
Edson Álvarez,19.0,mx MEX,DM,27-213,79,0,0,0,0,1,0,0,0,78,5,1,1,0.1,0.1,0.0,0,0,51,62,82.3,9,50,2,0,0,West Ham United
Lucas Paquetá,10.0,br BRA,AM,27-271,11,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,10,0,1,1,West Ham United
Max Kilman,26.0,eng ENG,CB,28-002,90,0,0,0,0,0,0,1,0,77,1,0,1,0.0,0.0,0.0,0,0,58,68,85.3,1,54,1,2,2,West Ham United
Konstantinos Mavropanos,15.0,gr GRE,CB,27-165,90,0,0,0,0,0,0,0,0,86,2,1,1,0.0,0.0,0.0,0,0,70,75,93.3,0,62,1,0,0,West Ham United
Jean-Clair Todibo,25.0,fr FRA,CB,25-146,89,0,0,0,0,0,0,0,0,83,4,2,1,0.0,0.0,0.0,0,0,64,73,87.7,1,60,0,1,1,West Ham United
Aaron Cresswell,3.0,eng ENG,"WB,CB",35-161,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,40-037,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,28,41,68.3,0,27,0,1,1,West Ham United
16 Players,,,,,990,3,3,0,0,10,6,1,0,768,25,9,9,1.1,1.1,0.9,18,5,564,654,86.2,30,498,15,17,13,West Ham United
