Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Wesley Moraes,9.0,br BRA,FW,22-264,90,0,0,0,0,2,1,0,0,22,0,0,0,0.2,0.2,0.5,4,0,8,15,53.3,1,12,2,2,2,Aston Villa
Anwar El Ghazi,21.0,nl NED,LW,24-106,74,0,0,0,0,2,0,0,0,33,1,0,1,0.2,0.2,0.0,1,0,20,28,71.4,1,16,0,0,0,Aston Villa
Jota,23.0,es ESP,"LW,RM",28-062,16,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.1,2,0,8,11,72.7,2,11,3,0,0,Aston Villa
Trézéguet,17.0,eg EGY,RW,24-320,86,0,0,0,0,3,1,0,0,38,1,0,0,0.6,0.6,0.0,3,0,22,29,75.9,2,35,5,2,1,Aston Villa
Keinan Davis,39.0,eng ENG,FW,21-185,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,0,Aston Villa
Jack Grealish,10.0,eng ENG,LM,23-341,90,0,1,0,0,2,0,0,0,64,2,0,1,0.5,0.5,0.2,10,1,40,57,70.2,9,35,5,1,1,Aston Villa
Douglas Luiz,6.0,br BRA,CM,21-100,90,1,0,0,0,2,1,0,0,72,0,1,2,0.0,0.0,0.0,3,0,53,59,89.8,6,44,3,2,2,Aston Villa
John McGinn,7.0,sct SCO,"RM,CM",24-303,90,0,0,0,0,6,3,0,0,56,0,0,1,0.2,0.2,0.0,7,1,31,43,72.1,7,34,0,2,2,Aston Villa
Neil Taylor,3.0,wls WAL,LB,30-191,90,0,0,0,0,2,0,0,0,73,1,0,0,0.1,0.1,0.1,1,0,55,64,85.9,5,35,2,0,0,Aston Villa
Tyrone Mings,40.0,eng ENG,CB,26-157,90,0,0,0,0,0,0,0,0,79,1,3,2,0.0,0.0,0.2,1,0,53,69,76.8,3,46,1,0,0,Aston Villa
Björn Engels,22.0,be BEL,CB,24-336,90,0,0,0,0,1,0,0,0,65,0,2,1,0.2,0.2,0.0,3,0,53,60,88.3,6,35,0,0,0,Aston Villa
Ahmed Elmohamady,27.0,eg EGY,RB,31-342,90,0,0,0,0,0,0,0,0,103,1,3,1,0.0,0.0,0.7,6,0,81,95,85.3,12,57,6,1,1,Aston Villa
Tom Heaton,1.0,eng ENG,GK,33-124,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,14,22,63.6,0,6,0,0,0,Aston Villa
13 Players,,,,,990,1,1,0,0,21,7,0,0,649,7,9,9,2.0,2.0,1.8,41,2,439,555,79.1,54,369,27,10,9,Aston Villa
