Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Glenn Murray,17.0,eng ENG,FW,35-319,63,0,0,0,0,0,0,0,0,13,1,0,2,0.0,0.0,0.0,1,0,6,8,75.0,1,8,0,0,0,Brighton & Hove Albion
Neal Maupay,7.0,fr FRA,LM,22-361,27,1,0,0,0,1,1,0,0,11,0,0,0,0.4,0.4,0.0,1,1,6,6,100.0,0,3,1,2,1,Brighton & Hove Albion
Jürgen Locadia,9.0,cw CUW,LW,25-276,63,0,0,0,0,1,1,0,0,20,0,0,0,0.1,0.1,0.0,2,0,9,17,52.9,0,8,1,1,1,Brighton & Hove Albion
Florin Andone,10.0,ro ROU,FW,26-121,27,1,0,0,0,1,1,0,0,14,1,0,1,0.4,0.4,0.0,0,0,3,6,50.0,0,8,1,2,1,Brighton & Hove Albion
Pascal Groß,13.0,de GER,"RW,RM",28-056,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.0,1,0,30,44,68.2,7,26,2,0,0,Brighton & Hove Albion
Solly March,20.0,eng ENG,"LM,LB",25-021,89,0,0,0,0,0,0,0,0,56,4,3,1,0.0,0.0,0.0,0,0,40,48,83.3,1,22,2,0,0,Brighton & Hove Albion
Bernardo,30.0,br BRA,LB,24-088,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Brighton & Hove Albion
Dale Stephens,6.0,eng ENG,CM,30-059,90,0,0,0,0,0,0,0,0,53,4,0,0,0.0,0.0,0.0,1,0,35,43,81.4,2,21,1,0,0,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,CM,27-342,90,0,1,0,0,1,0,0,0,60,3,1,1,0.0,0.0,0.4,1,1,39,47,83.0,3,33,2,2,1,Brighton & Hove Albion
Martín Montoya,22.0,es ESP,"RM,RB",28-118,90,0,0,0,0,0,0,0,0,63,2,1,1,0.0,0.0,0.1,2,1,32,50,64.0,5,29,2,3,1,Brighton & Hove Albion
Dan Burn,33.0,eng ENG,CB,27-093,90,0,0,0,0,1,0,0,0,73,1,2,0,0.0,0.0,0.0,0,0,48,64,75.0,4,40,2,1,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,27-262,90,0,1,0,0,0,0,1,0,71,2,2,2,0.0,0.0,0.4,1,1,54,59,91.5,5,41,0,0,0,Brighton & Hove Albion
Shane Duffy,4.0,ie IRL,CB,27-221,90,0,0,0,0,0,0,0,0,65,4,2,2,0.0,0.0,0.0,0,0,37,50,74.0,2,26,1,1,1,Brighton & Hove Albion
Mathew Ryan,1.0,au AUS,GK,27-124,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,28,39,71.8,0,22,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,2,2,0,0,5,3,1,0,597,24,11,11,0.8,0.8,0.8,10,4,370,484,76.4,30,289,15,12,6,Brighton & Hove Albion
