Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Cenk Tosun,14.0,tr TUR,FW,28-155,73,0,0,0,0,3,0,0,0,33,0,0,0,0.2,0.2,0.1,4,0,15,21,71.4,4,14,1,1,1,Everton
Dominic Calvert-Lewin,9.0,eng ENG,FW,22-238,17,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,6,9,66.7,1,8,1,2,1,Everton
Richarlison,7.0,br BRA,LW,22-183,88,1,0,0,0,3,2,0,0,42,2,0,0,0.4,0.4,0.1,3,0,15,25,60.0,3,26,3,8,5,Everton
Michael Keane,5.0,eng ENG,CB,26-302,2,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Everton
Theo Walcott,11.0,eng ENG,RW,30-238,73,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.2,5,0,12,23,52.2,3,20,7,3,3,Everton
Alex Iwobi,17.0,ng NGA,"RW,RM",23-190,17,0,0,0,0,2,1,0,0,13,1,0,0,0.1,0.1,0.1,3,1,5,8,62.5,2,3,0,1,1,Everton
Gylfi Sigurðsson,10.0,is ISL,"AM,LM",30-062,90,0,0,0,0,2,1,0,0,54,3,1,2,0.1,0.1,0.1,5,0,29,40,72.5,8,21,0,1,1,Everton
Morgan Schneiderlin,18.0,fr FRA,"DM,CM",30-001,90,0,0,0,0,1,0,0,0,43,2,1,1,0.0,0.0,0.0,1,0,29,35,82.9,3,15,0,0,0,Everton
Tom Davies,26.0,eng ENG,"DM,CM",21-132,90,1,0,0,0,3,1,0,0,58,2,3,0,0.2,0.2,0.0,1,0,29,42,69.0,4,17,0,1,1,Everton
Lucas Digne,12.0,fr FRA,LB,26-112,90,0,0,0,0,1,0,0,0,87,1,3,3,0.0,0.0,0.5,9,0,48,76,63.2,7,20,1,0,0,Everton
Mason Holgate,2.0,jm JAM,CB,23-018,90,0,1,0,0,2,0,0,0,55,3,0,0,0.4,0.4,0.2,4,1,38,47,80.9,3,27,0,0,0,Everton
Yerry Mina,13.0,co COL,CB,25-047,90,0,0,0,0,4,0,0,0,46,2,0,0,0.2,0.2,0.0,0,0,25,33,75.8,1,14,1,0,0,Everton
Djibril Sidibé,19.0,fr FRA,RB,27-103,90,0,1,0,0,1,0,1,0,51,7,1,0,0.0,0.0,0.3,3,1,33,37,89.2,4,19,0,1,0,Everton
Jordan Pickford,1.0,eng ENG,GK,25-247,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,17,36,47.2,0,15,0,0,0,Everton
14 Players,,,,,990,2,2,0,0,24,5,1,0,561,23,10,6,1.9,1.9,1.6,39,3,302,433,69.7,43,219,14,18,13,Everton
