Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Joelinton,9.0,br BRA,FW,23-087,82,0,0,0,0,4,3,0,0,36,0,2,0,0.3,0.3,0.1,5,0,17,22,77.3,3,26,2,2,1,Newcastle United
Andy Carroll,7.0,eng ENG,FW,30-307,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,2,0,0,0,Newcastle United
Allan Saint-Maximin,10.0,fr FRA,LM,22-242,89,0,0,0,0,2,0,0,0,30,2,1,2,0.5,0.5,0.1,8,1,7,15,46.7,1,16,3,7,4,Newcastle United
Christian Atsu,30.0,gh GHA,LM,27-303,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Newcastle United
Jonjo Shelvey,8.0,eng ENG,CM,27-255,90,0,0,0,0,3,0,0,0,48,2,1,0,0.1,0.1,0.3,11,0,23,40,57.5,4,23,0,0,0,Newcastle United
Isaac Hayden,14.0,jm JAM,CM,24-232,90,0,0,0,0,0,0,1,0,45,1,1,0,0.0,0.0,0.1,3,0,30,36,83.3,2,19,1,1,1,Newcastle United
Miguel Almirón,24.0,py PAR,RM,25-272,90,0,0,0,0,3,0,0,0,31,0,0,1,0.2,0.2,0.1,2,0,18,22,81.8,1,20,3,1,1,Newcastle United
Jetro Willems,15.0,nl NED,LB,25-224,90,0,0,0,0,4,3,0,0,50,6,1,2,0.1,0.1,0.0,1,0,20,32,62.5,0,20,3,2,1,Newcastle United
Ciaran Clark,2.0,ie IRL,CB,30-044,90,1,0,0,0,2,2,0,0,36,0,0,1,0.4,0.4,0.0,0,0,18,25,72.0,0,15,0,1,1,Newcastle United
Jamaal Lascelles,6.0,eng ENG,CB,25-363,19,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,0,0,Newcastle United
Paul Dummett,3.0,wls WAL,CB,28-044,71,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,1,0,12,22,54.5,1,14,0,0,0,Newcastle United
Federico Fernández,18.0,ar ARG,CB,30-261,90,0,0,0,0,2,0,1,0,62,3,0,3,0.0,0.0,0.0,2,1,27,41,65.9,2,29,0,0,0,Newcastle United
DeAndre Yedlin,22.0,us USA,RB,26-123,90,1,0,0,0,1,1,0,0,43,3,1,1,0.8,0.8,0.0,1,0,19,32,59.4,0,18,1,1,0,Newcastle United
Martin Dúbravka,1.0,sk SVK,GK,30-298,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,21,31,67.7,0,16,0,0,0,Newcastle United
14 Players,,,,,990,2,0,0,0,21,9,2,0,456,18,8,10,2.4,2.4,0.6,35,2,219,329,66.6,14,222,13,15,9,Newcastle United
