Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Teemu Pukki,22.0,fi FIN,FW,29-183,90,0,0,0,0,1,1,0,0,27,0,0,0,0.1,0.1,0.1,3,0,14,19,73.7,1,17,2,4,2,Norwich City
Todd Cantwell,14.0,eng ENG,LW,21-213,80,0,0,0,0,2,1,0,0,44,0,1,2,0.3,0.3,0.0,0,0,22,25,88.0,2,26,2,3,0,Norwich City
Patrick Roberts,7.0,eng ENG,RW,22-235,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,2,0,3,3,Norwich City
Emi Buendía,17.0,ar ARG,"RW,LW",22-277,90,0,0,0,0,2,1,0,0,78,3,1,5,0.1,0.1,0.2,5,0,45,57,78.9,13,52,4,5,3,Norwich City
Marco Stiepermann,18.0,de GER,AM,28-231,65,0,0,0,0,2,0,1,0,33,1,0,0,0.1,0.1,0.0,5,0,17,26,65.4,6,26,3,2,2,Norwich City
Josip Drmić,20.0,ch SUI,AM,27-051,25,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,8,0,1,0,Norwich City
Kenny McLean,23.0,sct SCO,DM,27-263,90,0,0,0,0,0,0,0,0,79,2,3,0,0.0,0.0,0.0,1,0,60,71,84.5,5,44,1,0,0,Norwich City
Moritz Leitner,10.0,de GER,DM,26-294,90,0,0,0,0,1,0,0,0,101,4,2,2,0.0,0.0,0.0,1,0,75,85,88.2,11,68,1,2,1,Norwich City
Jamal Lewis,12.0,nir NIR,LB,21-246,90,0,0,0,0,0,0,0,0,64,2,2,1,0.0,0.0,0.3,2,0,37,52,71.2,2,36,3,1,0,Norwich City
Ben Godfrey,4.0,eng ENG,CB,21-256,90,0,0,0,0,0,0,0,0,86,0,1,2,0.0,0.0,0.0,0,0,71,78,91.0,6,61,2,0,0,Norwich City
Ibrahim Amadou,24.0,fr FRA,CB,26-175,90,0,0,0,0,0,0,0,0,70,2,3,1,0.0,0.0,0.0,0,0,54,58,93.1,1,46,0,0,0,Norwich City
Max Aarons,2.0,eng ENG,RB,19-267,90,0,0,0,0,1,0,0,0,62,3,0,1,0.0,0.0,0.0,0,0,48,53,90.6,2,40,2,0,0,Norwich City
Ralf Fährmann,21.0,de GER,GK,31-001,21,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,5,0,0,0,Norwich City
Michael McGovern,33.0,nir NIR,GK,35-078,69,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,13,25,52.0,0,13,0,0,0,Norwich City
14 Players,,,,,990,0,0,0,0,10,3,1,0,694,17,13,14,0.7,0.7,0.7,18,0,466,566,82.3,49,444,20,21,11,Norwich City
