Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Troy Deeney,9.0,eng ENG,FW,32-008,90,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.1,2,0,22,38,57.9,4,23,0,0,0,Watford
Danny Welbeck,10.0,eng ENG,LW,29-224,90,1,0,0,0,3,2,0,0,36,2,3,1,0.3,0.3,0.0,1,0,13,18,72.2,1,17,1,2,1,Watford
Ismaila Sarr,23.0,sn SEN,RW,22-133,90,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.1,2,1,20,26,76.9,2,33,4,2,0,Watford
Abdoulaye Doucouré,16.0,ml MLI,AM,27-188,90,0,0,0,0,1,0,0,0,60,1,1,1,0.1,0.1,0.0,1,1,38,53,71.7,5,41,0,0,0,Watford
Will Hughes,19.0,eng ENG,DM,25-081,58,0,0,0,0,0,0,1,0,44,2,0,0,0.0,0.0,0.2,4,1,28,37,75.7,6,21,2,3,2,Watford
Tom Cleverley,8.0,eng ENG,DM,30-330,32,0,0,0,0,1,1,1,0,18,2,0,0,0.1,0.1,0.0,0,0,10,14,71.4,2,8,0,0,0,Watford
Étienne Capoue,29.0,fr FRA,DM,31-362,86,0,1,0,0,0,0,0,0,56,1,2,0,0.0,0.0,0.6,4,1,42,47,89.4,5,29,1,2,1,Watford
Nathaniel Chalobah,14.0,eng ENG,DM,25-208,4,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Watford
Adam Masina,11.0,ma MAR,LB,26-187,90,0,0,0,0,2,0,0,0,54,0,1,1,0.0,0.0,0.0,0,0,30,46,65.2,5,28,0,0,0,Watford
Craig Dawson,4.0,eng ENG,CB,30-062,90,1,0,0,0,2,1,0,0,40,2,0,4,0.7,0.7,0.0,0,0,23,29,79.3,1,18,0,0,0,Watford
Christian Kabasele,27.0,be BEL,CB,29-134,90,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,0,0,13,24,54.2,0,15,0,1,1,Watford
Kiko Femenía,21.0,es ESP,RB,29-156,90,0,0,0,0,0,0,0,0,67,7,4,1,0.0,0.0,0.0,1,0,41,57,71.9,3,38,3,0,0,Watford
Ben Foster,26.0,eng ENG,GK,37-095,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,18,32,56.3,0,16,0,0,0,Watford
13 Players,,,,,990,2,1,0,0,9,4,2,0,524,21,14,10,1.2,1.2,1.0,15,4,300,425,70.6,34,291,11,10,5,Watford
