Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Gabriel Martinelli,35.0,br BRA,FW,19-325,59,0,0,0,0,2,0,0,0,25,0,1,1,0.1,0.1,0.1,3,0,11,14,78.6,0,14,0,1,0,Arsenal
Alexandre Lacazette,9.0,fr FRA,FW,29-346,31,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,11,0,3,2,Arsenal
Nicolas Pépé,19.0,ci CIV,"LW,RW",25-345,90,1,0,0,0,3,2,0,0,58,2,0,1,0.2,0.2,0.0,1,0,33,41,80.5,2,46,5,4,1,Arsenal
Willian,12.0,br BRA,"RW,AM",32-273,90,1,0,0,0,2,1,0,0,57,1,1,0,0.1,0.1,0.1,9,3,39,50,78.0,5,40,6,2,1,Arsenal
Emile Smith Rowe,32.0,eng ENG,AM,20-285,62,1,0,0,0,2,2,0,0,47,0,0,0,0.4,0.4,0.0,0,0,35,42,83.3,5,41,2,0,0,Arsenal
Kieran Tierney,3.0,sct SCO,LB,23-338,28,0,0,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.0,0,0,13,20,65.0,1,15,2,1,0,Arsenal
Dani Ceballos,8.0,es ESP,DM,24-275,75,0,0,0,0,0,0,1,0,81,3,1,1,0.0,0.0,0.0,4,1,67,74,90.5,10,69,2,1,0,Arsenal
Thomas Partey,18.0,gh GHA,DM,27-330,15,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,14,16,87.5,0,12,0,0,0,Arsenal
Mohamed Elneny,25.0,eg EGY,DM,28-302,90,0,0,0,0,1,1,0,0,81,1,3,0,0.0,0.0,0.0,4,0,71,73,97.3,10,66,1,0,0,Arsenal
Bukayo Saka,7.0,eng ENG,"LB,LW",19-246,90,0,1,0,0,1,1,0,0,57,1,2,0,0.1,0.1,0.4,2,1,36,50,72.0,5,42,2,2,2,Arsenal
Gabriel Magalhães,6.0,br BRA,CB,23-141,90,0,0,0,0,1,0,0,0,80,0,0,0,0.1,0.1,0.0,1,0,63,74,85.1,7,64,2,0,0,Arsenal
Rob Holding,16.0,eng ENG,CB,25-231,90,0,0,0,0,0,0,0,0,60,0,1,3,0.0,0.0,0.0,0,0,45,51,88.2,3,39,0,0,0,Arsenal
Calum Chambers,21.0,eng ENG,RB,26-109,90,0,1,0,0,3,0,0,0,85,1,2,0,0.1,0.1,0.0,2,1,61,74,82.4,4,56,3,1,1,Arsenal
Bernd Leno,1.0,de GER,GK,29-066,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,16,0,0,0,Arsenal
14 Players,,,,,990,3,2,0,0,15,7,1,0,717,11,12,6,1.0,1.0,0.7,26,6,521,618,84.3,53,531,25,15,7,Arsenal
Mbaye Diagne,17.0,sn SEN,FW,29-193,55,0,0,0,0,1,0,0,0,13,0,0,0,0.7,0.7,0.0,0,0,3,7,42.9,2,9,0,0,0,West Bromwich Albion
Hal Robson-Kanu,4.0,wls WAL,FW,31-353,35,0,0,0,0,0,0,1,0,9,0,0,1,0.0,0.0,0.0,1,0,2,4,50.0,1,6,0,0,0,West Bromwich Albion
Conor Gallagher,18.0,eng ENG,FW,21-092,90,0,0,0,0,0,0,1,0,30,4,0,0,0.0,0.0,0.0,2,0,13,23,56.5,2,16,0,1,1,West Bromwich Albion
Matheus Pereira,12.0,br BRA,LM,25-004,90,1,0,0,0,5,1,0,0,50,1,1,0,0.2,0.2,0.8,4,0,32,40,80.0,4,28,6,3,0,West Bromwich Albion
Matt Phillips,10.0,sct SCO,CM,30-057,90,0,0,0,0,1,0,0,0,30,0,1,1,0.0,0.0,0.4,3,0,13,20,65.0,2,13,2,4,2,West Bromwich Albion
