Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Keinan Davis,39.0,eng ENG,FW,23-089,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.1,1,0,15,22,68.2,1,22,4,1,1,Aston Villa
Anwar El Ghazi,21.0,nl NED,"LW,RW",26-010,90,0,0,0,0,4,1,0,0,29,0,0,1,0.2,0.2,0.2,5,0,16,22,72.7,1,20,2,1,1,Aston Villa
Bertrand Traoré,15.0,bf BFA,RW,25-249,71,0,0,0,0,3,1,1,0,36,0,0,1,0.1,0.1,0.0,1,0,19,27,70.4,5,25,5,2,2,Aston Villa
Jack Grealish,10.0,eng ENG,LW,25-245,19,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,2,0,7,7,100.0,5,6,3,2,0,Aston Villa
Ross Barkley,20.0,eng ENG,AM,27-159,64,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,2,0,33,42,78.6,1,22,1,2,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,AM,19-350,26,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,1,15,1,1,1,Aston Villa
Douglas Luiz,6.0,br BRA,DM,23-004,90,0,0,0,0,1,0,0,0,78,2,2,0,0.0,0.0,0.1,2,0,65,72,90.3,3,42,2,1,1,Aston Villa
John McGinn,7.0,sct SCO,DM,26-207,90,0,0,0,0,1,0,1,0,64,1,1,1,0.1,0.1,0.0,4,0,49,57,86.0,3,35,0,4,4,Aston Villa
Matt Targett,18.0,eng ENG,LB,25-237,90,0,0,0,0,0,0,0,0,72,0,1,1,0.0,0.0,0.1,5,0,54,66,81.8,8,40,1,1,1,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,28-061,90,0,0,0,0,1,0,0,0,64,2,0,0,0.1,0.1,0.0,0,0,48,56,85.7,4,41,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,23-202,90,0,0,0,0,0,0,0,0,59,0,1,1,0.0,0.0,0.0,0,0,47,52,90.4,2,34,1,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,23-279,44,0,0,0,0,1,0,0,0,32,0,1,0,0.0,0.0,0.0,0,0,21,27,77.8,2,17,2,1,1,Aston Villa
Ahmed Elmohamady,27.0,eg EGY,RB,33-246,46,0,0,0,0,1,0,0,0,44,1,0,1,0.1,0.1,0.0,1,0,32,39,82.1,3,23,1,0,0,Aston Villa
Emiliano Martínez,26.0,ar ARG,GK,28-253,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,31,43,72.1,0,26,0,0,0,Aston Villa
14 Players,,,,,990,0,0,0,0,13,2,2,0,632,7,6,6,0.6,0.6,0.5,23,0,450,548,82.1,39,368,23,16,12,Aston Villa
Dominic Calvert-Lewin,9.0,eng ENG,FW,24-058,90,0,0,0,0,3,2,0,0,34,0,0,0,0.2,0.2,0.0,3,0,15,26,57.7,1,20,0,0,0,Everton
Richarlison,7.0,br BRA,FW,24-003,90,0,0,0,0,2,0,0,0,41,2,0,0,0.2,0.2,0.2,4,0,22,30,73.3,5,34,3,1,0,Everton
Gylfi Sigurðsson,10.0,is ISL,LM,31-247,66,0,0,0,0,1,1,1,0,39,0,2,2,0.1,0.1,0.1,3,0,25,28,89.3,1,25,2,0,0,Everton
