Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,29-272,90,1,0,0,0,1,1,0,0,26,1,1,1,0.3,0.3,0.0,0,0,10,17,58.8,1,15,1,2,1,Aston Villa
Morgan Rogers,27.0,eng ENG,LW,23-064,90,0,1,0,0,0,0,0,0,46,1,0,0,0.0,0.0,0.3,3,1,26,36,72.2,3,35,3,0,0,Aston Villa
Evann Guessand,29.0,ci CIV,RW,24-089,81,0,0,0,0,0,0,0,0,32,2,0,3,0.0,0.0,0.0,1,0,9,17,52.9,0,21,4,7,4,Aston Villa
Donyell Malen,17.0,nl NED,RW,26-262,9,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,Aston Villa
Harvey Elliott,9.0,eng ENG,AM,22-177,45,0,0,0,0,1,0,0,0,24,0,0,3,0.0,0.0,0.0,1,0,17,18,94.4,1,14,1,1,0,Aston Villa
Emi Buendía,10.0,ar ARG,AM,28-277,45,1,1,0,0,2,1,0,0,29,1,0,2,0.3,0.3,0.1,1,1,19,23,82.6,4,15,3,0,0,Aston Villa
Lamare Bogarde,26.0,nl NED,DM,21-266,81,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,26,27,96.3,2,21,0,0,0,Aston Villa
Victor Lindelöf,3.0,se SWE,DM,31-073,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Aston Villa
John McGinn,7.0,sct SCO,DM,30-345,71,1,0,0,0,3,1,1,0,38,1,3,0,0.4,0.4,0.0,2,0,24,30,80.0,2,21,1,1,0,Aston Villa
Boubacar Kamara,44.0,fr FRA,DM,25-309,19,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,0,1,0,Aston Villa
Lucas Digne,12.0,fr FRA,LB,32-070,90,0,1,0,0,1,1,0,0,39,0,0,1,0.1,0.1,0.3,2,2,25,33,75.8,5,27,3,0,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,32-199,31,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,21,23,91.3,2,17,0,0,0,Aston Villa
Pau Torres,14.0,es ESP,CB,28-255,59,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.0,2,0,33,36,91.7,4,25,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,27-340,90,0,0,0,0,0,0,0,0,73,0,0,3,0.0,0.0,0.0,0,0,63,64,98.4,5,52,1,0,0,Aston Villa
