Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,29-356,74,0,1,0,0,1,0,0,0,16,0,0,0,0.2,0.2,0.0,2,0,6,9,66.7,0,12,0,0,0,Aston Villa
Donyell Malen,17.0,nl NED,FW,26-346,16,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.1,1,0,1,2,50.0,0,2,0,0,0,Aston Villa
Morgan Rogers,27.0,eng ENG,LW,23-148,90,2,0,0,0,7,3,0,0,33,0,1,0,1.1,1.1,0.0,0,0,13,18,72.2,1,22,5,2,0,Aston Villa
John McGinn,7.0,sct SCO,RW,31-064,83,0,1,0,0,1,1,0,0,37,1,0,1,0.1,0.1,0.1,4,1,20,31,64.5,3,30,2,1,1,Aston Villa
Evann Guessand,29.0,ci CIV,RW,24-173,7,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,1,0,Aston Villa
Youri Tielemans,8.0,be BEL,"AM,DM",28-228,90,0,0,0,0,1,0,0,0,46,4,0,3,0.0,0.0,0.1,5,1,20,31,64.5,2,21,1,0,0,Aston Villa
Amadou Onana,24.0,be BEL,DM,24-127,83,0,0,0,0,0,0,0,0,45,3,1,3,0.0,0.0,0.1,1,0,27,30,90.0,1,21,1,2,1,Aston Villa
Emi Buendía,10.0,ar ARG,AM,28-361,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,0,0,0,Aston Villa
Boubacar Kamara,44.0,fr FRA,DM,26-028,87,0,0,0,0,0,0,0,0,42,3,0,1,0.0,0.0,0.0,2,2,27,29,93.1,3,25,0,3,0,Aston Villa
Lamare Bogarde,26.0,nl NED,DM,21-350,3,0,0,0,0,0,0,1,0,3,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Aston Villa
Ian Maatsen,22.0,nl NED,LB,23-286,74,0,0,0,0,1,0,0,0,50,3,1,0,0.0,0.0,0.9,2,0,27,35,77.1,2,25,0,3,1,Aston Villa
Lucas Digne,12.0,fr FRA,LB,32-154,16,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,1,0,Aston Villa
Victor Lindelöf,3.0,se SWE,CB,31-157,90,0,0,0,0,0,0,0,0,62,1,2,0,0.0,0.0,0.0,0,0,47,52,90.4,0,31,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,28-059,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.0,0,0,30,35,85.7,1,28,0,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,28-136,90,0,0,0,0,1,0,0,0,47,1,1,2,0.1,0.1,0.0,1,0,26,34,76.5,3,30,0,1,0,Aston Villa
Emiliano Martínez,23.0,ar ARG,GK,33-110,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,2,0,35,55,63.6,0,45,0,0,0,Aston Villa
16 Players,,,,,990,2,2,0,0,12,4,1,0,503,18,7,12,1.5,1.5,1.3,20,4,289,375,77.1,16,305,9,14,3,Aston Villa
Benjamin Šeško,30.0,si SVN,FW,22-204,72,0,0,0,0,1,1,0,0,16,0,0,0,0.3,0.3,0.0,0,0,7,10,70.0,0,7,0,1,0,Manchester United
