Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Solanke,29.0,eng ENG,FW,21-162,89,0,0,0,0,6,2,0,0,39,2,1,1,0.7,0.7,0.0,3,0,13,21,61.9,0,16,2,4,2,Bournemouth
Lys Mousset,9.0,fr FRA,FW,23-015,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Bournemouth
Joshua King,17.0,no NOR,FW,27-039,90,1,0,1,2,0,0,0,0,38,0,0,1,1.6,0.0,0.2,5,1,18,26,69.2,4,25,3,2,1,Bournemouth
Ryan Fraser,24.0,sct SCO,LM,24-364,90,0,0,0,0,0,0,0,0,60,2,3,1,0.0,0.0,0.1,4,0,32,49,65.3,3,37,4,1,1,Bournemouth
Dan Gosling,4.0,eng ENG,CM,29-022,90,0,0,0,0,1,0,1,0,68,5,3,0,0.0,0.0,0.4,2,0,39,54,72.2,7,29,0,1,1,Bournemouth
Jefferson Lerma,8.0,co COL,CM,24-121,90,0,0,0,0,0,0,1,0,43,1,0,2,0.0,0.0,0.0,1,0,29,35,82.9,6,21,0,1,1,Bournemouth
Jordon Ibe,10.0,eng ENG,RM,23-077,90,0,0,0,0,1,0,0,0,43,3,0,0,0.1,0.1,0.0,3,0,20,28,71.4,3,28,7,3,2,Bournemouth
Adam Smith,15.0,eng ENG,LB,27-300,90,0,0,0,0,0,0,1,0,69,0,2,1,0.0,0.0,0.0,0,0,51,60,85.0,5,42,5,1,1,Bournemouth
Nathan Aké,5.0,nl NED,CB,24-005,90,0,0,0,0,0,0,0,0,46,3,0,2,0.0,0.0,0.0,0,0,17,27,63.0,0,15,0,0,0,Bournemouth
Chris Mepham,33.0,wls WAL,CB,21-110,90,0,0,0,0,0,0,0,0,57,0,1,0,0.0,0.0,0.0,0,0,35,49,71.4,2,38,0,2,2,Bournemouth
Nathaniel Clyne,23.0,eng ENG,RB,27-324,90,0,0,0,0,0,0,0,0,61,5,3,1,0.0,0.0,0.0,1,1,34,46,73.9,2,29,0,1,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,39-003,90,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,0,0,16,30,53.3,0,14,0,0,0,Bournemouth
12 Players,,,,,990,1,0,1,2,8,2,4,0,557,21,13,9,2.4,0.8,0.8,19,2,304,425,71.5,32,295,21,16,11,Bournemouth
Diogo Jota,18.0,pt POR,FW,22-081,65,0,0,0,0,1,0,1,0,29,1,0,0,0.1,0.1,0.0,1,0,17,24,70.8,1,16,5,5,4,Wolverhampton Wanderers
