Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Yoane Wissa,11.0,cd COD,FW,27-350,83,1,1,0,0,2,1,1,0,32,0,0,1,1.0,1.0,0.1,1,1,22,26,84.6,2,23,1,2,1,Brentford
Fabio Carvalho,14.0,pt POR,FW,21-354,7,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,2,5,40.0,0,1,0,0,0,Brentford
Kevin Schade,7.0,de GER,LW,22-265,73,0,0,0,0,1,0,0,0,28,3,0,0,0.1,0.1,0.0,1,0,8,17,47.1,1,18,4,6,2,Brentford
Keane Lewis-Potter,23.0,eng ENG,"LW,LM,FW",23-178,17,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Brentford
Bryan Mbeumo,19.0,cm CMR,"RW,FW",25-011,89,1,0,0,0,1,1,0,0,37,0,0,1,0.1,0.1,0.4,6,0,16,32,50.0,1,23,3,1,1,Brentford
Ben Mee,16.0,eng ENG,CB,34-332,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Brentford
Mathias Jensen,8.0,dk DEN,LM,28-230,83,0,0,0,0,0,0,0,0,48,0,2,3,0.0,0.0,0.0,2,0,29,41,70.7,4,27,1,1,0,Brentford
Frank Onyeka,15.0,ng NGA,CM,26-230,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Brentford
Vitaly Janelt,27.0,de GER,CM,26-100,73,0,0,0,0,2,0,0,0,41,3,2,0,0.1,0.1,0.0,1,0,28,30,93.3,4,27,1,2,0,Brentford
Mikkel Damsgaard,24.0,dk DEN,"RM,CM",24-046,17,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,7,9,77.8,1,5,1,1,0,Brentford
Christian Nørgaard,6.0,dk DEN,"RM,CM",30-161,90,0,0,0,0,0,0,0,0,56,3,3,2,0.0,0.0,0.1,3,1,31,43,72.1,7,29,1,0,0,Brentford
Kristoffer Ajer,20.0,no NOR,LB,26-123,90,0,0,0,0,1,1,0,0,43,0,1,0,0.3,0.3,0.0,0,0,28,38,73.7,2,30,2,1,1,Brentford
Ethan Pinnock,5.0,jm JAM,CB,31-081,90,0,0,0,0,1,1,0,0,58,2,1,2,0.0,0.0,0.0,0,0,34,42,81.0,2,28,0,2,0,Brentford
Nathan Collins,22.0,ie IRL,CB,23-110,90,0,0,0,0,1,1,0,0,67,5,0,3,0.2,0.2,0.0,1,1,46,52,88.5,2,31,2,0,0,Brentford
Mads Roerslev,30.0,dk DEN,RB,25-055,90,0,0,0,0,0,0,0,0,48,0,1,0,0.0,0.0,0.0,0,0,34,43,79.1,5,34,0,0,0,Brentford
Mark Flekken,1.0,nl NED,GK,31-066,90,0,0,0,0,0,0,0,0,58,1,0,0,0.0,0.0,0.0,0,0,42,55,76.4,0,38,0,0,0,Brentford
16 Players,,,,,990,2,1,0,0,9,5,1,0,544,19,11,13,1.8,1.8,0.6,15,3,331,440,75.2,31,321,16,16,5,Brentford
Jean-Philippe Mateta,14.0,fr FRA,FW,27-051,45,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,7,10,70.0,2,6,1,2,0,Crystal Palace
Odsonne Édouard,22.0,fr FRA,"FW,AM",26-215,45,0,0,0,0,1,0,0,0,17,0,0,1,0.0,0.0,0.0,1,0,7,12,58.3,1,10,1,0,0,Crystal Palace
Eberechi Eze,10.0,eng ENG,"AM,LM",26-050,90,0,0,0,0,7,3,0,0,58,1,0,0,0.4,0.4,0.0,6,0,31,43,72.1,5,41,7,6,2,Crystal Palace
Daichi Kamada,18.0,jp JPN,AM,28-013,69,0,0,0,0,0,0,1,0,36,1,1,0,0.0,0.0,0.1,3,0,23,28,82.1,3,16,1,3,1,Crystal Palace
Jordan Ayew,9.0,gh GHA,"FW,AM",32-342,21,0,0,0,0,1,0,1,0,12,1,0,0,0.5,0.5,0.0,1,0,8,10,80.0,0,6,0,0,0,Crystal Palace
Will Hughes,19.0,eng ENG,CM,29-123,83,0,0,0,0,0,0,0,0,56,5,1,1,0.0,0.0,0.0,3,0,43,49,87.8,4,29,1,0,0,Crystal Palace
