Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ivan Toney,17.0,eng ENG,FW,26-164,90,0,0,0,0,2,0,0,0,26,0,0,0,0.3,0.3,0.1,3,0,13,17,76.5,2,17,0,1,0,Brentford
Yoane Wissa,11.0,cd COD,LW,25-358,67,0,0,0,0,1,0,1,0,13,1,0,1,0.4,0.4,0.0,1,0,2,5,40.0,0,4,0,1,0,Brentford
Keane Lewis-Potter,23.0,eng ENG,AM,21-186,23,0,1,0,0,1,0,0,0,14,0,0,0,0.0,0.0,0.8,3,1,8,9,88.9,1,10,0,1,0,Brentford
Bryan Mbeumo,19.0,cm CMR,"RW,AM",23-020,77,0,0,0,0,4,1,0,0,36,0,0,1,0.3,0.3,0.0,3,0,21,30,70.0,3,28,2,0,0,Brentford
Mikkel Damsgaard,24.0,dk DEN,AM,22-055,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,4,0,0,0,Brentford
Mathias Jensen,8.0,dk DEN,"LM,CM",26-238,90,0,0,0,0,2,0,0,0,85,3,0,1,0.0,0.0,0.3,6,0,48,78,61.5,4,52,4,2,0,Brentford
Christian Nørgaard,6.0,dk DEN,CM,28-170,68,0,0,0,0,3,1,0,0,66,4,2,0,0.2,0.2,0.0,1,0,48,58,82.8,4,53,0,1,1,Brentford
Vitaly Janelt,27.0,de GER,CB,24-109,22,1,0,0,0,3,2,0,0,29,0,0,1,0.8,0.8,0.0,2,0,21,24,87.5,2,21,1,1,1,Brentford
Josh Dasilva,10.0,eng ENG,"RM,WB",23-308,89,0,0,0,0,1,1,0,0,72,2,0,1,0.1,0.1,0.0,6,0,55,62,88.7,4,60,6,7,3,Brentford
Mads Bech Sørensen,29.0,dk DEN,CM,23-232,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Brentford
Rico Henry,3.0,jm JAM,"LB,WB",25-050,90,0,0,0,0,0,0,0,0,57,1,1,2,0.0,0.0,0.2,3,0,33,48,68.8,3,28,2,0,0,Brentford
Ben Mee,16.0,eng ENG,CB,32-340,90,0,0,0,0,1,0,0,0,79,0,4,2,0.1,0.1,0.0,3,0,54,65,83.1,0,52,0,0,0,Brentford
Mathias Jørgensen,13.0,dk DEN,CB,32-126,67,0,0,0,0,0,0,0,0,65,1,1,2,0.0,0.0,0.1,1,0,55,59,93.2,7,48,0,0,0,Brentford
Shandon Baptiste,26.0,gd GRN,CM,24-141,23,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,18,88.9,1,17,0,0,0,Brentford
Aaron Hickey,2.0,sct SCO,"RB,CB",20-078,90,0,0,0,0,2,0,1,0,64,2,0,0,0.0,0.0,0.0,2,0,46,55,83.6,6,48,4,1,0,Brentford
David Raya,1.0,es ESP,GK,26-346,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,36,40,90.0,1,32,0,0,0,Brentford
16 Players,,,,,990,1,1,0,0,20,5,2,0,676,14,8,11,2.2,2.2,1.6,34,1,464,576,80.6,39,474,19,15,5,Brentford
